"","Zeitstempel","X...WICHTIG.....Ich.bin.damit.einverstanden..dass.die.mit.dieser.Umfrage.gesammelten..anonymen..Daten.vom.Dozenten.zum.Zwecke.der.Veranschaulichung.von.Methoden.genutzt.werden..Potenziell.sensible.Informationen.werden.nicht.an.Dritte.weitergegeben..","Ihr.Geschlecht.","Welche.Schuhgroesse.haben.Sie.","Was.ist.Ihre.Koerpergroesse..in.cm..","Geben.Sie.an.bzw..schaetzen.Sie..wie.viele.Liegestuetze.Sie.am.Stueck.schaffen.","Auf.einer.Skala.von.1..ueberhaupt.nicht..bis.10..sehr.stark...wie.sehr.interessieren.Sie.sich.fuer.Statistik.","Auf.einer.Skala.von.1..ueberhaupt.nicht..bis.10..sehr.stark...wie.sehr.interessieren.Sie.sich.fuer.wirtschaftliche.Zusammenhaenge.","Auf.einer.Skala.von.1..ueberhaupt.nicht..bis.10..sehr.stark...wie.sehr.interessieren.Sie.sich.fuer.Mathematik.","Auf.einer.Skala.von.1..ueberhaupt.nicht.gerne..bis.10..sehr.gerne...wie.gerne.ueben.Sie.Programmiertaetigkeiten.aus.","Wie.war.Ihr.Abischnitt.","Wie.viele.Punkte.hatten.Sie.in.der.Schule.zuletzt.in.Mathematik.","Wie.weit.entfernt.von.der.Uni.wohnen.Sie.waehrend.des.Semesters..Schaetzen.Sie.die.Entfernung..in.km..","Wie.lange.brauchen.Sie.fuer.Ihren.Weg.zur.Uni..Schaetzen.Sie.die.Dauer..in.Minuten..","Koennen.Sie.sich.vorstellen..einen.Dr..zu.machen.","Muessen.Sie.nebenbei.arbeiten..um.Ihr.Studium.zu.finanzieren.","Wie.viele.Stunden.pro.Woche.treiben.Sie.Sport.","Haben.Sie.derzeit.einen.Partner.bzw..eine.Partnerin.","Welche.Partei.werden.Sie.bei.der.naechsten.Bundestagswahl.voraussichtlich.waehlen.","Was.ist.der.hoechste.von.einem.Ihrer.Elternteile.erreichte.Bildungsgrad.","Welches.Einstiegsgehalt..Euro..monatlich..netto..erwarten.Sie.fuer.sich.nach.Abschluss.des.Studiums.","Kommen.Sie.aus.Ostwestfalen.","Ihre.Handy.Bildschirmzeit.am.Tag...in.Stunden.","Trinken.Sie.Alkohol.","Rauchen.Sie.","Haben.Sie.schon.mal.gekifft.","Soll.der.Dozent.in.der.Vorlesung.gendern."
"84","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",46,180,45,4,9,8,3,"2,1","10",38,105,"keine Ahnung","ja",6,"nein","FDP","Dr.",3200,"nein","6","gelegentlich (einige Male pro Monat)","nein","ja","bitte nicht"
"85","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",40,169,0,7,5,9,6,"2,3","9",13,8,"nein","nein",4,"nein","eine andere Partei","Abitur",4500,"ja","4","nein, nie","nein","nein","mir egal"
"86","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",41,163,20,6,9,10,4,"2,0","14",38,75,"keine Ahnung","ja",3,"nein","","Hauptschul- oder Realschulabschluss",NA,"ja","2 Stunden ","selten (einige Male pro Jahr)","nein","nein","mir egal"
"87","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",46,183,20,4,7,4,6,"2,8","8",40,45,"keine Ahnung","nein",2.5,"nein","werde nicht waehlen","Hauptschul- oder Realschulabschluss",3,"nein","3","gelegentlich (einige Male pro Monat)","nur gelegentlich","ja","mir egal"
"88","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","divers",40,170,8,7,9,5,9,"2,5","12",16,50,"ja","ja",1,"nein","werde nicht waehlen","Hauptschul- oder Realschulabschluss",4,"ja","7","nein, nie","nein","nein","mir egal"
"89","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,181,50,7,8,7,1,"2,5","14",35,65,"nein","ja",18,"ja","eine andere Partei","Hauptschul- oder Realschulabschluss",5000,"nein","4","nein, nie","nein","nein","bitte nicht"
"90","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,170,40,6,5,7,8,"2,8","8",92,35,"nein","nein",13,"nein","werde nicht waehlen","Hauptschul- oder Realschulabschluss",3000,"ja","7","nein, nie","nein","nein","bitte nicht"
"91","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",41,178,30,7,1,7,7,"2,9","5",30,30,"keine Ahnung","nein",5,"bin nicht sicher","eine andere Partei","Diplom (abgeschlossenes Studium)",NA,"ja","3 ","gelegentlich (einige Male pro Monat)","ja","ja","bitte nicht"
"92","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",43,181,14,6,8,4,4,"2,6","10",90,95,"nein","ja",2,"nein","werde nicht waehlen","Dr.",3500,"nein","7","nein, nie","nein","nein","bitte nicht"
"93","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",39,168,20,7,9,4,3,"3,3","0",3,10,"ja","nein",4,"nein","CDU/CSU","Diplom (abgeschlossenes Studium)",45000,"ja","6","selten (einige Male pro Jahr)","nein","nein","mir egal"
"94","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,183,50,5,9,6,4,"1,7","10",7,20,"keine Ahnung","nein",13,"nein","FDP","Hauptschul- oder Realschulabschluss",35000,"ja","6","gelegentlich (einige Male pro Monat)","nein","ja","bitte nicht"
"95","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",39,165,15,4,8,6,1,"2,1","15",25,25,"ja","ja",2.5,"nein","SPD","Diplom (abgeschlossenes Studium)",5500,"ja","8","nein, nie","nein","nein","mir egal"
"96","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,183,5,8,6,6,9,"2,7","8",32,25,"nein","ja",5,"nein","CDU/CSU","Abitur",3000,"ja","5","gelegentlich (einige Male pro Monat)","nur gelegentlich","ja","bitte nicht"
"97","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",48,188,15,3,9,1,2,"2,9","10",30,30,"nein","nein",3,"nein","eine andere Partei","Diplom (abgeschlossenes Studium)",3000,"ja","3","gelegentlich (einige Male pro Monat)","nein","ja","bitte nicht"
"98","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",43,178,11,8,8,7,4,"2,8","11",3,20,"nein","ja",1.5,"nein","Gruene","Diplom (abgeschlossenes Studium)",7000,"ja","5","haeufig (einige Male pro Woche)","ja","ja","mir egal"
"99","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,171,65,8,7,10,10,"2,8","13",7,20,"ja","ja",2.5,"nein","eine andere Partei","Diplom (abgeschlossenes Studium)",4.5,"nein","4","gelegentlich (einige Male pro Monat)","nein","ja","mir egal"
"100","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",39,155,15,2,7,9,8,"3,0","7",35,70,"nein","nein",NA,"ja","Die Linke","Hauptschul- oder Realschulabschluss",3000,"ja","3","gelegentlich (einige Male pro Monat)","ja","ja","mir egal"
"101","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,183,9,8,8,8,5,"1,3","14",25,65,"keine Ahnung","nein",1,"nein","Gruene","Hauptschul- oder Realschulabschluss",3000,"ja","4,5","nein, nie","nein","nein","bitte nicht"
"102","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",38,165,32,7,7,7,4,"1,5","13",16,55,"keine Ahnung","nein",8,"bin nicht sicher","Gruene","Diplom (abgeschlossenes Studium)",2500,"ja","5","gelegentlich (einige Male pro Monat)","nur gelegentlich","ja","mir egal"
"103","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",42,167,10,6,6,7,1,"2,5","10",35,35,"keine Ahnung","nein",9,"nein","CDU/CSU","Abitur",2.5,"ja","5","gelegentlich (einige Male pro Monat)","nein","nein","mir egal"
"104","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",42,180,35,6,10,6,5,"2,9","kann Frage nicht sinnvoll beantworten",25,70,"ja","ja",5,"nein","","Dr.",4200,"ja","2","selten (einige Male pro Jahr)","nur gelegentlich","ja","mir egal"
"105","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,178,20,9,7,9,6,"2,3","11",12,50,"nein","ja",3,"nein","werde nicht waehlen","Hauptschul- oder Realschulabschluss",3000,"nein","10","selten (einige Male pro Jahr)","nur gelegentlich","nein","mir egal"
"106","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",39.5,168,20,5,8,2,1,"2,9","4",7,35,"nein","nein",1.5,"bin nicht sicher","werde nicht waehlen","Abitur",3000,"ja","3","selten (einige Male pro Jahr)","nein","ja","bitte nicht"
"107","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",41,172,32,7,4,5,3,"3,4","6",9,20,"keine Ahnung","nein",10,"nein","CDU/CSU","Diplom (abgeschlossenes Studium)",3000,"nein","4","gelegentlich (einige Male pro Monat)","ja","ja","mir egal"
"108","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",38,164,7,3,6,8,2,"1,7","12",38,60,"keine Ahnung","nein",10,"ja","FDP","Diplom (abgeschlossenes Studium)",3799,"ja","3","gelegentlich (einige Male pro Monat)","nein","nein","mir egal"
"109","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",40,164,22,3,10,5,6,"2,7","8",70,65,"keine Ahnung","ja",10,"nein","FDP","Abitur",2000,"ja","6","gelegentlich (einige Male pro Monat)","nein","ja","mir egal"
"110","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",41,172,6,8,8,3,1,"1,5","15",2,25,"keine Ahnung","nein",2.5,"nein","werde nicht waehlen","Dr.",2000,"nein","7","gelegentlich (einige Male pro Monat)","nein","ja","mir egal"
"111","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",36,162,6,8,10,9,4,"3,2","10",14,45,"keine Ahnung","nein",4,"nein","Die Linke","Hauptschul- oder Realschulabschluss",NA,"ja","6","nein, nie","nein","nein","mir egal"
"112","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",37,168,20,5,9,7,4,"2,0","10",8,40,"keine Ahnung","nein",4,"nein","SPD","Hauptschul- oder Realschulabschluss",3000,"ja","5","nein, nie","nein","nein","mir egal"
"113","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,177,22,6,6,8,2,"2,2","8",11,55,"ja","nein",3,"nein","SPD","Hauptschul- oder Realschulabschluss",3000,"ja","6","gelegentlich (einige Male pro Monat)","ja","ja","bitte nicht"
"114","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,180,2,3,4,2,1,"1,4","15",13,26,"ja","nein",6,"nein","Gruene","Hauptschul- oder Realschulabschluss",NA,"ja","5h","selten (einige Male pro Jahr)","nein","nein","mir egal"
"115","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,181,15,4,10,4,7,"2,9","5",30,25,"nein","nein",4.5,"ja","CDU/CSU","Abitur",4000,"ja","5","selten (einige Male pro Jahr)","nur gelegentlich","nein","mir egal"
"116","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,1.75,70,5,6,6,7,"2,0","kann Frage nicht sinnvoll beantworten",6,30,"nein","nein",7,"ja","werde nicht waehlen","Diplom (abgeschlossenes Studium)",3100,"ja","6","selten (einige Male pro Jahr)","nur gelegentlich","ja","bitte nicht"
"117","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",39,169,12,3,10,2,2,"3,0","7",14,20,"ja","nein",15,"nein","BSW","Hauptschul- oder Realschulabschluss",2000,"ja","4","selten (einige Male pro Jahr)","ja","ja","mir egal"
"118","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,178,50,4,9,2,6,"2,5","9",6,15,"nein","nein",8,"nein","CDU/CSU","Diplom (abgeschlossenes Studium)",5000,"ja","6","selten (einige Male pro Jahr)","nur gelegentlich","ja","mir egal"
"119","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",46,193,45,7,9,6,3,"2,3","12",26,95,"nein","ja",8,"ja","CDU/CSU","Diplom (abgeschlossenes Studium)",3000,"ja","6,5","selten (einige Male pro Jahr)","nein","nein","bitte nicht"
"120","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",42,177,20,9,7,3,2,"3,3","1",20,60,"ja","ja",1.5,"nein","Gruene","Hauptschul- oder Realschulabschluss",50000,"ja","2","gelegentlich (einige Male pro Monat)","nein","nein","mir egal"
"121","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",42,173,19,4,7,4,3,"2,3","9",20,75,"nein","nein",4,"nein","CDU/CSU","Hauptschul- oder Realschulabschluss",2000,"ja","2","selten (einige Male pro Jahr)","nein","nein","unbedingt"
"122","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,182,30,2,8,4,5,"3,1","4",52,40,"nein","ja",2.5,"ja","FDP","Abitur",3600,"nein","2","gelegentlich (einige Male pro Monat)","nein","ja","bitte nicht"
"123","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",37,164,0,8,10,8,4,"2,2","15",14,45,"ja","nein",3,"ja","FDP","Diplom (abgeschlossenes Studium)",2100,"ja","7","gelegentlich (einige Male pro Monat)","nein","ja","mir egal"
"124","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",37,171,1,3,9,4,1,"3,3","14",7,15,"nein","ja",4,"ja","CDU/CSU","Abitur",NA,"nein","3","haeufig (einige Male pro Woche)","ja","ja","mir egal"
"125","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",41,192,56,7,5,5,4,"3,6","3",25,45,"ja","ja",9,"bin nicht sicher","eine andere Partei","Diplom (abgeschlossenes Studium)",3000,"ja","3","gelegentlich (einige Male pro Monat)","nein","ja","mir egal"
"126","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,185,25,7,8,7,4,"1,0","12",8,5,"keine Ahnung","nein",5,"nein","werde nicht waehlen","Diplom (abgeschlossenes Studium)",3500,"ja","4","gelegentlich (einige Male pro Monat)","nein","nein","bitte nicht"
"127","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",38,165,0,4,9,3,4,"2,7","6",17,25,"keine Ahnung","ja",7,"bin nicht sicher","Die Linke","Hauptschul- oder Realschulabschluss",6000,"nein","4","gelegentlich (einige Male pro Monat)","ja","ja","mir egal"
"128","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,182,35,6,9,7,3,"1,8","12",6,30,"nein","nein",5,"ja","CDU/CSU","Diplom (abgeschlossenes Studium)",2.5,"ja","3","gelegentlich (einige Male pro Monat)","nur gelegentlich","ja","bitte nicht"
"129","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","divers",37,170,0,1,3,1,1,"2,8","4",13,20,"keine Ahnung","ja",7,"nein","eine andere Partei","Hauptschul- oder Realschulabschluss",4000,"ja","5","nein, nie","nein","nein","mir egal"
"130","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,183,15,6,8,9,5,"2,5","14",2,10,"nein","ja",5,"nein","FDP","Abitur",3500,"ja","10","gelegentlich (einige Male pro Monat)","nur gelegentlich","ja","mir egal"
"131","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,183,55,10,10,9,8,"3,0","8",25,70,"nein","nein",9,"ja","AfD","Hauptschul- oder Realschulabschluss",4000,"ja","4","selten (einige Male pro Jahr)","nur gelegentlich","nein","mir egal"
"132","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",38,166,0,5,4,7,5,"2,6","11",14,35,"nein","ja",2,"nein","darf nicht waehlen","Hauptschul- oder Realschulabschluss",4,"ja","7 stunden","selten (einige Male pro Jahr)","nein","nein","mir egal"
"133","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",39,165,5,4,6,6,4,"3,1","8",NA,65,"nein","ja",NA,"nein","SPD","Abitur",3000,"","","gelegentlich (einige Male pro Monat)","nein","nein","bitte nicht"
"134","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",47,206,43,5,7,2,1,"1,7","3",6,40,"ja","ja",7,"ja","AfD","Abitur",2500,"ja","4","gelegentlich (einige Male pro Monat)","nur gelegentlich","ja","mir egal"
"135","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",39,169,16,7,9,10,5,"1,4","15",30,70,"ja","kann Frage nicht sinnvoll beantworten",9,"nein","","Hauptschul- oder Realschulabschluss",50000,"ja","2","nein, nie","nein","nein","mir egal"
"136","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,185,70,7,8,8,5,"3,1","3",40,45,"nein","kann Frage nicht sinnvoll beantworten",9,"nein","werde nicht waehlen","Hauptschul- oder Realschulabschluss",2500,"ja","5","nein, nie","nein","nein","bitte nicht"
"137","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,184,50,6,8,4,5,"3,3","0",12,10,"ja","ja",9,"ja","FDP","Diplom (abgeschlossenes Studium)",3500,"ja","1","gelegentlich (einige Male pro Monat)","ja","ja","mir egal"
"138","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",42,175,7,1,6,4,2,"3,6","6",40,70,"keine Ahnung","nein",2,"bin nicht sicher","Die Linke","Dr.",3000,"nein","8","selten (einige Male pro Jahr)","nein","ja","mir egal"
"139","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",39,170,15,6,6,7,5,"3,0","4",45,80,"keine Ahnung","ja",4.5,"ja","","Hauptschul- oder Realschulabschluss",3000,"nein","4","gelegentlich (einige Male pro Monat)","nein","nein","bitte nicht"
"140","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",41,157,0,9,8,10,4,"3,0","14",16,70,"nein","nein",2,"nein","Die Linke","Hauptschul- oder Realschulabschluss",NA,"ja","6","gelegentlich (einige Male pro Monat)","nein","ja","mir egal"
"141","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",36,163,5,5,10,8,7,"2,8","8",4,20,"ja","ja",2,"nein","","Abitur",1e+05,"","","nein, nie","nein","nein","mir egal"
"142","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",37,168,5,5,7,5,1,"1,7","7",85,130,"ja","nein",3,"ja","CDU/CSU","Abitur",6000,"nein","4","gelegentlich (einige Male pro Monat)","nein","ja","mir egal"
"143","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",43,178,0,6,8,8,1,"2,8","9",30,30,"nein","ja",1,"nein","BSW","Hauptschul- oder Realschulabschluss",2500,"ja","5","gelegentlich (einige Male pro Monat)","nur gelegentlich","ja","mir egal"
"144","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,187,25,6,8,7,3,"2,6","4",0,10,"ja","ja",8,"ja","FDP","Diplom (abgeschlossenes Studium)",60,"ja","6","gelegentlich (einige Male pro Monat)","nein","ja","bitte nicht"
"145","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",47,187,30,5,7,6,2,"3,1","9",8,45,"nein","nein",7,"ja","werde nicht waehlen","Abitur",4000,"ja","8","selten (einige Male pro Jahr)","nein","ja","bitte nicht"
"146","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",40,164,2,5,7,4,2,"","12",5,37,"ja","ja",NA,"nein","werde nicht waehlen","Diplom (abgeschlossenes Studium)",5500,"ja","","nein, nie","nein","nein","mir egal"
"147","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",40,173,24,4,10,6,6,"2,6","8",12,20,"nein","nein",7,"nein","CDU/CSU","Hauptschul- oder Realschulabschluss",NA,"ja","10","selten (einige Male pro Jahr)","nein","nein","bitte nicht"
"148","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",38,164,46,8,6,9,6,"1,7","14",3,10,"ja","nein",7,"nein","eine andere Partei","Hauptschul- oder Realschulabschluss",3,"ja","8","nein, nie","nein","nein","mir egal"
"149","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,188,70,4,5,7,6,"3,8","11",9,10,"nein","kann Frage nicht sinnvoll beantworten",15,"nein","werde nicht waehlen","Hauptschul- oder Realschulabschluss",NA,"ja","6","nein, nie","nein","nein","bitte nicht"
"150","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",38,164,0,7,4,6,9,"2,5","6",76,35,"nein","kann Frage nicht sinnvoll beantworten",3,"nein","eine andere Partei","Hauptschul- oder Realschulabschluss",2700,"ja","8","nein, nie","nein","nein","mir egal"
"151","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,184,70,7,8,8,4,"2,2","9",25,40,"nein","ja",11,"ja","CDU/CSU","Hauptschul- oder Realschulabschluss",3000,"ja","2,5","selten (einige Male pro Jahr)","nein","nein","mir egal"
"152","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",40,167,12,2,2,1,2,"2,5","14",44,45,"keine Ahnung","ja",6,"nein","werde nicht waehlen","Hauptschul- oder Realschulabschluss",NA,"nein","10","gelegentlich (einige Male pro Monat)","nein","nein","mir egal"
"153","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",38,167,8,2,6,1,1,"3,3","10",31,45,"nein","ja",2,"nein","SPD","Abitur",3500,"ja","6","gelegentlich (einige Male pro Monat)","nein","ja","mir egal"
"154","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,180,20,5,8,9,1,"3,3","8",27,35,"nein","nein",6,"bin nicht sicher","BSW","Hauptschul- oder Realschulabschluss",6000,"ja","5","selten (einige Male pro Jahr)","nein","nein","bitte nicht"
"155","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",46,194,16,8,9,6,4,"1,9","10",13,50,"keine Ahnung","nein",7,"nein","FDP","Diplom (abgeschlossenes Studium)",5000,"ja","6","gelegentlich (einige Male pro Monat)","nur gelegentlich","ja","bitte nicht"
"156","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",39,170,0,6,6,5,5,"2,9","5",5.8,15,"keine Ahnung","ja",2,"nein","CDU/CSU","Hauptschul- oder Realschulabschluss",3500,"ja",".","selten (einige Male pro Jahr)","nein","nein","mir egal"
"157","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",40,179,11,1,1,3,1,"2,4","5",30,30,"nein","nein",3.5,"ja","werde nicht waehlen","Abitur",2800,"ja","6","gelegentlich (einige Male pro Monat)","nein","nein","mir egal"
"158","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",42,183,45,9,9,6,1,"2,5","9",54,70,"ja","ja",5,"ja","AfD","Abitur",NA,"nein","10","selten (einige Male pro Jahr)","nur gelegentlich","nein","bitte nicht"
"159","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",41,179,0,8,6,2,2,"2,2","7",35,50,"keine Ahnung","ja",0.6,"nein","CDU/CSU","Diplom (abgeschlossenes Studium)",10000,"ja","5","selten (einige Male pro Jahr)","ja","ja","bitte nicht"
"160","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,173,6,2,1,1,6,"2,6","15",1,10,"nein","nein",7,"nein","werde nicht waehlen","Diplom (abgeschlossenes Studium)",4000,"ja","6","nein, nie","nein","nein","mir egal"
"161","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",40,173,0,2,8,1,2,"1,8","11",25,45,"ja","ja",4,"ja","eine andere Partei","Abitur",10000,"ja","1","selten (einige Male pro Jahr)","nur gelegentlich","ja","bitte nicht"
"162","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,178,25,8,10,9,8,"3,1","0",12,35,"ja","ja",7,"nein","Gruene","Diplom (abgeschlossenes Studium)",4000,"ja","4","gelegentlich (einige Male pro Monat)","nein","nein","mir egal"
"163","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,169,15,2,1,1,6,"2,6","12",1,8,"nein","nein",7,"nein","werde nicht waehlen","Diplom (abgeschlossenes Studium)",3000,"ja","4","nein, nie","nein","nein","mir egal"
"164","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",44,171,10,7,9,9,1,"2,2","8",30,50,"ja","nein",7,"nein","Gruene","Abitur",3000,"ja","6","gelegentlich (einige Male pro Monat)","nein","nein","mir egal"
"165","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",46,188,32,8,10,7,7,"3,2","13",4,15,"ja","nein",3,"ja","CDU/CSU","Diplom (abgeschlossenes Studium)",3000,"nein","5","gelegentlich (einige Male pro Monat)","nein","ja","bitte nicht"
"166","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",47,193,20,8,6,5,1,"2,9","9",8,25,"keine Ahnung","nein",4.5,"nein","SPD","Diplom (abgeschlossenes Studium)",2500,"ja","6","selten (einige Male pro Jahr)","nein","nein","mir egal"
"167","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",42,189,100,8,10,9,6,"2,0","14",11,30,"ja","ja",14,"nein","werde nicht waehlen","Diplom (abgeschlossenes Studium)",4000,"ja","","","nein","nein","unbedingt"
"168","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,175,90,6,8,6,3,"3,2","8",8,40,"nein","nein",14,"nein","eine andere Partei","Diplom (abgeschlossenes Studium)",2.5,"ja","10","selten (einige Male pro Jahr)","nein","ja","bitte nicht"
"169","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",46,195,20,6,9,5,4,"2,4","6",34,40,"keine Ahnung","nein",9,"ja","FDP","Diplom (abgeschlossenes Studium)",3,"ja","5","gelegentlich (einige Male pro Monat)","nein","ja","mir egal"
"170","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,176,25,6,3,8,10,"1,7","15",11,15,"keine Ahnung","kann Frage nicht sinnvoll beantworten",3.5,"nein","eine andere Partei","Hauptschul- oder Realschulabschluss",2500,"ja","3,5","gelegentlich (einige Male pro Monat)","nur gelegentlich","ja","bitte nicht"
"171","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,187,10,4,7,4,2,"3,3","11",8,10,"nein","nein",8,"nein","","Abitur",60000,"ja","5","gelegentlich (einige Male pro Monat)","nein","nein","bitte nicht"
"172","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",39,1.81,72,5,7,3,5,"3,5","1",14,65,"nein","ja",7,"nein","werde nicht waehlen","Hauptschul- oder Realschulabschluss",5000,"ja","5","nein, nie","nein","ja","bitte nicht"
"173","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",41,181,5,4,3,6,5,"2,7","10",32,30,"keine Ahnung","ja",2,"nein","CDU/CSU","Hauptschul- oder Realschulabschluss",10000,"nein","5","nein, nie","nein","nein","bitte nicht"
"174","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",40,164,8,5,6,3,3,"2,9","10",0,20,"ja","nein",2.5,"nein","eine andere Partei","Abitur",42000,"ja","4stundne","nein, nie","nein","nein","bitte nicht"
