"","Timestamp","X...WICHTIG.....Ich.bin.damit.einverstanden..dass.die.mit.dieser.Umfrage.gesammelten..anonymen..Daten.zum.Zwecke.der.Veranschaulichung.von.Methoden.in.den.Vorlesungen.Statistik.1...2.sowie.in.den.dazugehoerigen.Tutorien.genutzt.werden..Dieses.Einverstaendnis.kann.jederzeit.durch.Nachricht.an.den.Dozenten.widerrufen.werden..Potenziell.sensible.Informationen.werden.nicht.an.Dritte.weitergegeben..","Ihr.Geschlecht.","Welche.Schuhgroesse.haben.Sie.","Was.ist.Ihre.Koerpergroesse..in.cm..","Auf.einer.Skala.von.1..ueberhaupt.nicht..bis.10..sehr.stark...wie.sehr.interessieren.Sie.sich.fuer.Statistik.","Auf.einer.Skala.von.1..ueberhaupt.nicht..bis.10..sehr.stark...wie.sehr.interessieren.Sie.sich.fuer.wirtschaftliche.Zusammenhaenge.","Auf.einer.Skala.von.1..ueberhaupt.nicht..bis.10..sehr.stark...wie.sehr.interessieren.Sie.sich.fuer.Mathematik.","Auf.einer.Skala.von.1..ueberhaupt.nicht.gerne..bis.10..sehr.gerne...wie.gerne.ueben.Sie.Programmiertaetigkeiten.aus.","Wie.war.Ihr.Abischnitt.","Wie.viele.Punkte.hatten.Sie.in.der.Schule.zuletzt.in.Mathematik.","Koennten.Sie.sich.vorstellen..einen.Dr..zu.machen.","Wie.weit.entfernt.von.der.Uni.wohnen.Sie.waehrend.des.Semesters..Schaetzen.Sie.die.Entfernung..in.km..","Wie.lange.brauchen.Sie.morgens.fuer.Ihren.Weg.zur.Uni..Schaetzen.Sie.die.Dauer..in.Minuten..","Haben.Sie.derzeit.einen.Partner.bzw..eine.Partnerin.","Welche.Partei.wuerden.Sie.waehlen..wenn.am.kommenden.Sonntag.eine.Bundestagswahl.waere.","Was.ist.der.hoechste.von.einem.Ihrer.Elternteile.erreichte.Bildungsgrad.","Rauchen.Sie.","Haben.Sie.schon.mal.gekifft."
"115","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,183,7,8,7,1,"1,9","14","ja",2,12,"ja","FDP","Diplom (abgeschlossenes Studium)","nein","ja"
"116","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",47,190,8,9,4,3,"3,0","7","keine Ahnung",30,50,"ja","Gruene","Dr.","nein","ja"
"117","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",42,186,6,9,7,6,"2,7","9","keine Ahnung",69,45,"nein","Die Linke","Diplom (abgeschlossenes Studium)","ja","ja"
"118","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",38,167,6,8,7,5,"2,7","10","nein",1,15,"ja","SPD","Abitur","nein","nein"
"119","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,182,4,7,6,4,"2,5","4","keine Ahnung",30,90,"nein","Gruene","Hauptschul- oder Realschulabschluss","ja","ja"
"120","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",42.5,183,5,7,2,1,"2,0","8","ja",20,80,"ja","Gruene","Hauptschul- oder Realschulabschluss","nein","ja"
"121","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",38,156,10,7,9,6,"2,0","10","keine Ahnung",13,10,"nein","wuerde nicht waehlen gehen","Abitur","nein","nein"
"122","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,177,7,5,8,6,"3,1","9","nein",5,10,"ja","CDU/CSU","Hauptschul- oder Realschulabschluss","bin Gelegenheitsraucher*in (z.B. bei Partys)","ja"
"123","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",48,201,7,7,6,3,"1,2","15","ja",20,25,"ja","","Abitur","nein","nein"
"124","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",40,175,8,9,6,7,"2,5","kann Frage nicht sinnvoll beantworten","nein",34,45,"nein","Die Linke","Diplom (abgeschlossenes Studium)","ja","ja"
"125","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,173,6,8,6,3,"3,1","4","keine Ahnung",20,30,"ja","Gruene","Hauptschul- oder Realschulabschluss","nein","ja"
"126","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",38,173,9,6,10,7,"2,6","11","keine Ahnung",17,15,"ja","eine andere Partei","Hauptschul- oder Realschulabschluss","nein","nein"
"127","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,176,10,10,6,5,"2,3","8","ja",30,40,"ja","FDP","Abitur","nein","ja"
"128","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,173,4,8,5,2,"3,1","9","ja",35,55,"ja","wuerde nicht waehlen gehen","Hauptschul- oder Realschulabschluss","nein","ja"
"129","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",40,178,6,9,7,6,"2,4","8","keine Ahnung",25,30,"nein","wuerde nicht waehlen gehen","Hauptschul- oder Realschulabschluss","ja","nein"
"130","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",41,184,8,4,6,6,"2,1","11","nein",40,40,"nein","Gruene","Hauptschul- oder Realschulabschluss","nein","nein"
"131","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",42,171,6,7,1,2,"3,5","10","ja",29,60,"nein","Gruene","Hauptschul- oder Realschulabschluss","nein","nein"
"132","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",39,165,6,5,1,5,"1,7","10","keine Ahnung",12,95,"ja","wuerde nicht waehlen gehen","Abitur","ja","ja"
"133","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,169,7,7,5,4,"2,7","9","keine Ahnung",17,15,"nein","Gruene","Hauptschul- oder Realschulabschluss","nein","nein"
"134","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,189,7,8,5,7,"2,0","8","nein",11,25,"ja","Gruene","Diplom (abgeschlossenes Studium)","bin Gelegenheitsraucher*in (z.B. bei Partys)","ja"
"135","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",38,169,5,9,2,2,"2,2","9","keine Ahnung",8,25,"ja","Gruene","Hauptschul- oder Realschulabschluss","ja","ja"
"136","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",40,185,8,5,9,4,"1,4","14","keine Ahnung",6,20,"nein","Gruene","Diplom (abgeschlossenes Studium)","nein","nein"
"137","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",37,162,7,7,10,8,"1,6","kann Frage nicht sinnvoll beantworten","nein",1,20,"nein","wuerde nicht waehlen gehen","Hauptschul- oder Realschulabschluss","nein","nein"
"138","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",40,164,4,8,6,1,"2,1","11","ja",30,65,"nein","Gruene","Hauptschul- oder Realschulabschluss","nein","nein"
"139","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44.5,180,6,8,8,8,"2,8","9","nein",35,55,"nein","FDP","Hauptschul- oder Realschulabschluss","nein","ja"
"140","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",46,187,5,7,2,1,"3,8","5","nein",39,70,"ja","Gruene","Hauptschul- oder Realschulabschluss","nein","nein"
"141","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",42,186,7,9,6,7,"2,2","9","ja",3,35,"ja","eine andere Partei","Dr.","nein","ja"
"142","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",39,178,4,7,9,1,"3,2","10","keine Ahnung",45,25,"nein","Gruene","Hauptschul- oder Realschulabschluss","bin Gelegenheitsraucher*in (z.B. bei Partys)","ja"
"143","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",38,NA,8,6,5,1,"2,2","8","nein",40,45,"nein","SPD","","nein","nein"
"144","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",36,NA,5,8,5,3,"2,3","","nein",35,75,"nein","CDU/CSU","Hauptschul- oder Realschulabschluss","nein","nein"
"145","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",42,174,6,10,8,6,"2,5","4","nein",45,95,"nein","eine andere Partei","Abitur","nein","ja"
"146","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",39,168,7,7,6,5,"1,9","11","nein",3,25,"bin nicht sicher","CDU/CSU","Abitur","nein","ja"
"147","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",46,199,2,5,4,5,"3,3","9","keine Ahnung",20,45,"nein","eine andere Partei","Diplom (abgeschlossenes Studium)","nein","nein"
"148","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",41,181,5,9,6,3,"1,4","12","ja",21,30,"ja","SPD","Hauptschul- oder Realschulabschluss","bin Gelegenheitsraucher*in (z.B. bei Partys)","ja"
"149","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,196,7,7,2,4,"2,2","6","ja",95,35,"bin nicht sicher","wuerde nicht waehlen gehen","Abitur","nein","ja"
"150","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,184,8,8,7,4,"2,8","14","ja",6,35,"ja","Gruene","Diplom (abgeschlossenes Studium)","bin Gelegenheitsraucher*in (z.B. bei Partys)","ja"
"151","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,195,6,10,6,2,"3,4","14","keine Ahnung",8,20,"ja","FDP","Diplom (abgeschlossenes Studium)","ja","ja"
"152","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",48,196,5,9,6,1,"2,3","10","keine Ahnung",55,50,"nein","FDP","Abitur","nein","ja"
"153","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,174,6,5,9,3,"1,8","kann Frage nicht sinnvoll beantworten","ja",3,10,"ja","Die Linke","Hauptschul- oder Realschulabschluss","bin Gelegenheitsraucher*in (z.B. bei Partys)","wie bitte"
"154","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,183,7,9,7,5,"2,0","4","nein",2,7,"nein","eine andere Partei","Hauptschul- oder Realschulabschluss","nein","nein"
"155","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,170,4,7,7,7,"2,4","15","ja",118,40,"ja","FDP","Abitur","bin Gelegenheitsraucher*in (z.B. bei Partys)","ja"
"156","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",42,177,5,8,4,2,"2,3","9","keine Ahnung",0,10,"nein","SPD","Hauptschul- oder Realschulabschluss","nein","ja"
"157","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",37,154,3,3,3,2,"2,5","12","keine Ahnung",6,35,"nein","eine andere Partei","Hauptschul- oder Realschulabschluss","nein","nein"
"158","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,180,8,7,9,2,"3,0","4","keine Ahnung",30,60,"ja","SPD","Abitur","nein","nein"
"159","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",41,184,7,9,6,6,"2,1","13","ja",45,50,"ja","FDP","Dr.","nein","ja"
"160","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,187,6,3,10,7,"1,5","14","ja",NA,25,"nein","Gruene","Diplom (abgeschlossenes Studium)","bin Gelegenheitsraucher*in (z.B. bei Partys)","ja"
"161","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,196,6,7,5,4,"2,3","11","ja",17,70,"nein","AfD","Diplom (abgeschlossenes Studium)","nein","nein"
"162","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,176,4,4,5,1,"2,2","15","keine Ahnung",9,35,"nein","Gruene","Hauptschul- oder Realschulabschluss","nein","nein"
"163","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,176,10,9,10,2,"1,7","15","ja",16,22,"nein","FDP","Abitur","nein","nein"
"164","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",46,188,3,5,1,3,"3,6","8","ja",240,NA,"nein","Gruene","Hauptschul- oder Realschulabschluss","nein","nein"
"165","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",38,173,7,7,9,6,"1,4","13","ja",4,10,"nein","Gruene","Abitur","nein","nein"
"166","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",38,161,4,7,2,3,"2,6","5","keine Ahnung",20,70,"ja","Gruene","Diplom (abgeschlossenes Studium)","bin Gelegenheitsraucher*in (z.B. bei Partys)","ja"
"167","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,186,7,9,8,8,"2,6","8","ja",45,100,"ja","FDP","Diplom (abgeschlossenes Studium)","nein","nein"
"168","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,176,7,8,8,2,"1,9","15","ja",32,65,"nein","FDP","Dr.","nein","ja"
"169","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",42,171,4,4,8,2,"2,0","kann Frage nicht sinnvoll beantworten","ja",2,10,"ja","Die Linke","Hauptschul- oder Realschulabschluss","bin Gelegenheitsraucher*in (z.B. bei Partys)","wie bitte"
"170","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,180,6,6,6,7,"2,5","9","nein",9,35,"ja","CDU/CSU","Diplom (abgeschlossenes Studium)","ja","ja"
"171","2019/10/12 00:00:00 PM OESZ","nein, ich bin nicht einverstanden","maennlich",42,177,7,10,10,9,"2,5","10","keine Ahnung",10,15,"nein","Gruene","Abitur","nein","ja"
"172","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,194,3,9,5,3,"2,7","7","nein",NA,75,"nein","","Diplom (abgeschlossenes Studium)","nein",""
"173","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",42,182,6,8,5,6,"3,1","kann Frage nicht sinnvoll beantworten","ja",30,60,"nein","eine andere Partei","Diplom (abgeschlossenes Studium)","nein","nein"
"174","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,187,4,8,5,3,"2,5","12","nein",5,40,"nein","AfD","Diplom (abgeschlossenes Studium)","nein","ja"
"175","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",41,177,7,9,6,1,"2,0","11","nein",25,35,"bin nicht sicher","Gruene","Abitur","nein","ja"
"176","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",39,166,4,5,9,5,"2,3","9","keine Ahnung",23,40,"ja","FDP","Abitur","nein","wie bitte"
"177","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",41,175,7,8,4,2,"3,3","4","keine Ahnung",8,50,"nein","wuerde nicht waehlen gehen","Hauptschul- oder Realschulabschluss","bin Gelegenheitsraucher*in (z.B. bei Partys)","ja"
"178","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",38,165,5,10,5,1,"2,0","8","nein",9,30,"nein","Gruene","Diplom (abgeschlossenes Studium)","nein","nein"
"179","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",41,164,8,7,7,3,"2,2","9","keine Ahnung",35,45,"ja","wuerde nicht waehlen gehen","Diplom (abgeschlossenes Studium)","nein","nein"
"180","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,190,6,9,4,5,"2,7","7","nein",8,30,"nein","CDU/CSU","Diplom (abgeschlossenes Studium)","ja","ja"
"181","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",42,175,8,8,4,8,"2,3","9","nein",1,30,"nein","eine andere Partei","Hauptschul- oder Realschulabschluss","nein","ja"
"182","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",42,165,9,10,9,NA,"","","keine Ahnung",30,50,"ja","AfD","Abitur","nein","ja"
"183","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",41,170,4,8,9,3,"2,6","11","nein",35,15,"nein","CDU/CSU","","nein","nein"
"184","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",38,166,6,9,4,2,"","8","keine Ahnung",14,25,"ja","Gruene","Hauptschul- oder Realschulabschluss","nein","ja"
"185","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",40,181,9,10,10,9,"2,3","13","keine Ahnung",8,10,"ja","FDP","Dr.","nein","ja"
"186","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,188,1,7,1,7,"1,4","kann Frage nicht sinnvoll beantworten","ja",32,60,"ja","wuerde nicht waehlen gehen","Dr.","ja","nein"
"187","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",42,171,7,9,10,2,"3,3","13","keine Ahnung",45,60,"ja","Gruene","Diplom (abgeschlossenes Studium)","nein","nein"
"188","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,191,5,8,4,6,"3,0","10","keine Ahnung",35,15,"ja","FDP","Diplom (abgeschlossenes Studium)","bin Gelegenheitsraucher*in (z.B. bei Partys)","nein"
"189","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,179,6,6,6,4,"2,9","kann Frage nicht sinnvoll beantworten","ja",3,40,"nein","AfD","Hauptschul- oder Realschulabschluss","nein","nein"
"190","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",38,158,7,9,5,6,"3,1","9","ja",2,10,"nein","CDU/CSU","Hauptschul- oder Realschulabschluss","bin Gelegenheitsraucher*in (z.B. bei Partys)","ja"
"191","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",41,172,6,7,8,5,"2,1","11","nein",17,10,"ja","Gruene","Hauptschul- oder Realschulabschluss","nein","nein"
"192","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",39,170,1,2,5,5,"1,7","kann Frage nicht sinnvoll beantworten","ja",4,35,"nein","Gruene","Diplom (abgeschlossenes Studium)","bin Gelegenheitsraucher*in (z.B. bei Partys)","ja"
"193","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",37,1.67,4,9,3,4,"2,1","kann Frage nicht sinnvoll beantworten","nein",12,40,"ja","wuerde nicht waehlen gehen","Hauptschul- oder Realschulabschluss","nein","nein"
"194","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,170,8,8,1,7,"2,1","","keine Ahnung",30,35,"nein","FDP","Hauptschul- oder Realschulabschluss","bin Gelegenheitsraucher*in (z.B. bei Partys)","wie bitte"
"195","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",41,171,8,9,7,6,"1,6","12","nein",16,58,"ja","Gruene","Abitur","nein","nein"
"196","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",42,170,8,8,8,8,"1,9","15","nein",14,65,"nein","Gruene","Dr.","nein","nein"
"197","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",41,171,5,8,7,1,"3,1","6","keine Ahnung",55,45,"nein","Gruene","Abitur","nein","ja"
"198","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",36,156,8,9,4,4,"2,1","8","ja",4,5,"ja","wuerde nicht waehlen gehen","Hauptschul- oder Realschulabschluss","nein","ja"
"199","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",34,180,9,10,8,4,"2,2","10","nein",4,15,"nein","FDP","Hauptschul- oder Realschulabschluss","nein","nein"
"200","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",38,171,4,8,8,1,"2,1","8","ja",7,14,"ja","Gruene","Abitur","nein","nein"
"201","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,177,8,8,3,2,"2,7","1","nein",14,40,"nein","FDP","Abitur","bin Gelegenheitsraucher*in (z.B. bei Partys)","ja"
"202","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",38,160,3,7,3,4,"2,5","10","nein",13,15,"nein","CDU/CSU","Hauptschul- oder Realschulabschluss","nein","ja"
"203","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",42,175,4,8,4,1,"2,5","8","ja",9,30,"nein","Gruene","Abitur","nein","nein"
"204","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",39,165,7,10,5,8,"2,9","11","keine Ahnung",25,39,"nein","Gruene","Hauptschul- oder Realschulabschluss","nein","nein"
"205","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",46,184,8,8,4,1,"1,2","8","ja",40,35,"nein","CDU/CSU","Diplom (abgeschlossenes Studium)","nein","ja"
"206","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",39,161,5,7,1,4,"2,5","10","keine Ahnung",70,85,"moechte ich nicht sagen","wuerde nicht waehlen gehen","Hauptschul- oder Realschulabschluss","nein","nein"
"207","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",38,169,4,9,4,4,"3,0","9","nein",17,10,"nein","wuerde nicht waehlen gehen","Hauptschul- oder Realschulabschluss","nein","nein"
"208","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,181,9,10,3,4,"2,7","5","ja",6,15,"nein","Gruene","Diplom (abgeschlossenes Studium)","nein","ja"
"209","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",41,170,4,10,5,3,"2,6","5","nein",60,90,"ja","Die Linke","Hauptschul- oder Realschulabschluss","nein","nein"
"210","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",40,177,7,9,5,2,"2,6","9","keine Ahnung",28,55,"nein","Gruene","Hauptschul- oder Realschulabschluss","bin Gelegenheitsraucher*in (z.B. bei Partys)","ja"
"211","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",47,190,3,7,6,6,"1,3","14","keine Ahnung",11,40,"nein","FDP","Abitur","bin Gelegenheitsraucher*in (z.B. bei Partys)","ja"
"212","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",37,182,8,9,8,5,"1,4","14","ja",1,10,"nein","Gruene","Abitur","nein","nein"
"213","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",39,162,5,6,6,5,"2,2","14","nein",6,20,"nein","Gruene","Hauptschul- oder Realschulabschluss","nein","nein"
"214","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,174,10,10,10,7,"2,5","13","ja",10,30,"ja","eine andere Partei","Diplom (abgeschlossenes Studium)","nein","ja"
"215","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",42,186,7,10,8,3,"2,6","12","ja",4,25,"ja","eine andere Partei","Diplom (abgeschlossenes Studium)","nein","nein"
