"","Zeitstempel","X...WICHTIG.....Ich.bin.damit.einverstanden..dass.die.mit.dieser.Umfrage.gesammelten..anonymen..Daten.vom.Dozenten.zum.Zwecke.der.Veranschaulichung.von.Methoden.genutzt.werden..Dieses.Einverstaendnis.kann.jederzeit.durch.Nachricht.an.den.Dozenten.widerrufen.werden..Potenziell.sensible.Informationen.werden.nicht.an.Dritte.weitergegeben..","Ihr.Geschlecht.","Welche.Schuhgroesse.haben.Sie.","Was.ist.Ihre.Koerpergroesse..in.cm..","Geben.Sie.an.bzw..schaetzen.Sie..wie.viele.Liegestuetze.Sie.am.Stueck.schaffen.","Auf.einer.Skala.von.1..ueberhaupt.nicht..bis.10..sehr.stark...wie.sehr.interessieren.Sie.sich.fuer.Statistik.","Auf.einer.Skala.von.1..ueberhaupt.nicht..bis.10..sehr.stark...wie.sehr.interessieren.Sie.sich.fuer.wirtschaftliche.Zusammenhaenge.","Auf.einer.Skala.von.1..ueberhaupt.nicht..bis.10..sehr.stark...wie.sehr.interessieren.Sie.sich.fuer.Mathematik.","Auf.einer.Skala.von.1..ueberhaupt.nicht.gerne..bis.10..sehr.gerne...wie.gerne.ueben.Sie.Programmiertaetigkeiten.aus.","Wie.war.Ihr.Abischnitt.","Wie.viele.Punkte.hatten.Sie.in.der.Schule.zuletzt.in.Mathematik.","Koennten.Sie.sich.vorstellen..einen.Dr..zu.machen.","Wie.weit.entfernt.von.der.Uni.wohnen.Sie.waehrend.des.Semesters..Schaetzen.Sie.die.Entfernung..in.km..","Wie.lange.brauchen.Sie.fuer.Ihren.Weg.zur.Uni..Schaetzen.Sie.die.Dauer..in.Minuten..","Haben.Sie.derzeit.einen.Partner.bzw..eine.Partnerin.","Welche.Partei.haben..bzw..haetten..Sie.bei.der.Bundestagswahl.gewaehlt.","Was.ist.der.hoechste.von.einem.Ihrer.Elternteile.erreichte.Bildungsgrad.","Welches.Einstiegsgehalt..Euro..monatlich..netto..erwarten.Sie.fuer.sich.nach.Abschluss.des.Studiums.","Kommen.Sie.aus.Ostwestfalen.","Trinken.Sie.Alkohol.","Rauchen.Sie.","Haben.Sie.schon.mal.gekifft."
"95","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",38,162,0,5,7,6,3,"2,5","9","nein",10,10,"nein","SPD","Abitur",2500,"ja","nein, nie","nein","nein"
"96","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,179,35,5,10,8,2,"3,5","8","nein",32,45,"ja","FDP","Diplom (abgeschlossenes Studium)",3500,"ja","gelegentlich (einige Male pro Monat)","nein","nein"
"97","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,181,15,7,8,5,4,"2,3","14","nein",1,13,"nein","FDP","Abitur",2500,"nein","gelegentlich (einige Male pro Monat)","nein","nein"
"98","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",42.5,179,65,9,8,7,7,"2,8","11","nein",70,30,"nein","FDP","Diplom (abgeschlossenes Studium)",2000,"ja","selten (einige Male pro Jahr)","nein","nein"
"99","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",46,182,52,8,6,3,2,"2,5","10","keine Ahnung",20,30,"nein","SPD","Abitur",2600,"ja","selten (einige Male pro Jahr)","nein","nein"
"100","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",48,189,15,9,8,9,8,"1,5","12","keine Ahnung",70,45,"ja","FDP","Abitur",2200,"ja","haeufig (einige Male pro Woche)","nein","nein"
"101","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",46,177,0,6,6,2,9,"2,8","5","nein",30,30,"nein","AfD","Hauptschul- oder Realschulabschluss",3500,"ja","nein, nie","nein","nein"
"102","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",38,173,9,2,4,4,3,"2,1","4","nein",3,10,"nein","SPD","Hauptschul- oder Realschulabschluss",3500,"ja","haeufig (einige Male pro Woche)","nur gelegentlich","ja"
"103","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",41,169,7,5,7,6,8,"3,3","10","nein",9,30,"moechte ich nicht sagen","Die Linke","Hauptschul- oder Realschulabschluss",3000,"ja","selten (einige Male pro Jahr)","nein","nein"
"104","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",49,195,15,7,10,7,8,"1,8","10","keine Ahnung",90,45,"nein","Gruene","Hauptschul- oder Realschulabschluss",3000,"nein","gelegentlich (einige Male pro Monat)","nein","nein"
"105","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",41,165,18,6,6,8,2,"3,0","5","keine Ahnung",14,60,"ja","CDU/CSU","Diplom (abgeschlossenes Studium)",3000,"ja","gelegentlich (einige Male pro Monat)","nein","nein"
"106","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",35,156,12,2,10,1,4,"2,8","7","ja",40,7,"ja","war nicht waehlen","Abitur",NA,"nein","selten (einige Male pro Jahr)","nein","ja"
"107","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",47,197,35,7,9,4,7,"1,9","5","nein",8,25,"ja","FDP","Diplom (abgeschlossenes Studium)",2000,"nein","gelegentlich (einige Male pro Monat)","nein","ja"
"108","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",46,186,20,5,8,2,6,"3,7","9","keine Ahnung",12,25,"nein","FDP","Hauptschul- oder Realschulabschluss",2400,"ja","gelegentlich (einige Male pro Monat)","ja","ja"
"109","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",46,201,25,8,10,10,9,"3,2","8","nein",35,80,"nein","FDP","Hauptschul- oder Realschulabschluss",2000,"nein","gelegentlich (einige Male pro Monat)","nur gelegentlich","nein"
"110","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,172,7,7,4,1,5,"2,4","5","keine Ahnung",10,50,"nein","war nicht waehlen","Hauptschul- oder Realschulabschluss",2500,"ja","selten (einige Male pro Jahr)","nein","nein"
"111","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,186,50,6,8,5,2,"2,5","12","nein",16,10,"nein","FDP","Hauptschul- oder Realschulabschluss",1800,"ja","nein, nie","ja","ja"
"112","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",38,160,20,3,10,8,1,"2,0","15","nein",66,120,"ja","SPD","Abitur",2000,"nein","gelegentlich (einige Male pro Monat)","nein","nein"
"113","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",36,144,3,5,3,8,5,"2,7","kann Frage nicht sinnvoll beantworten","ja",4,10,"nein","Gruene","Dr.",2500,"nein","nein, nie","nein","nein"
"114","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,182,30,2,7,1,3,"3,1","6","ja",35,45,"nein","war nicht waehlen","Abitur",NA,"ja","gelegentlich (einige Male pro Monat)","nur gelegentlich","ja"
"115","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",41,179,14,7,9,5,6,"3,0","15","keine Ahnung",3,20,"ja","Gruene","Diplom (abgeschlossenes Studium)",NA,"ja","gelegentlich (einige Male pro Monat)","nein","ja"
"116","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,168,25,8,10,7,8,"2,6","4","keine Ahnung",40,50,"ja","war nicht waehlen","Diplom (abgeschlossenes Studium)",3500,"ja","gelegentlich (einige Male pro Monat)","nein","ja"
"117","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",35,155,0,5,8,8,5,"2,1","14","keine Ahnung",105,35,"nein","SPD","Hauptschul- oder Realschulabschluss",2000,"nein","nein, nie","nein","nein"
"118","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,186,65,7,7,6,3,"2,2","14","keine Ahnung",8,45,"nein","FDP","Diplom (abgeschlossenes Studium)",4000,"ja","gelegentlich (einige Male pro Monat)","nein","ja"
"119","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,184,45,5,7,7,6,"3,1","7","keine Ahnung",7,10,"nein","FDP","Abitur",3000,"ja","nein, nie","nein","nein"
"120","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",42,179,10,8,8,10,7,"2,5","13","ja",13,30,"nein","FDP","Diplom (abgeschlossenes Studium)",60000,"ja","gelegentlich (einige Male pro Monat)","nein","ja"
"121","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",41,167,5,6,9,7,5,"3,0","14","ja",92,60,"nein","CDU/CSU","Hauptschul- oder Realschulabschluss",2100,"ja","nein, nie","nein","nein"
"122","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,183,25,6,7,8,6,"1,6","14","keine Ahnung",36,30,"nein","eine andere Partei","Diplom (abgeschlossenes Studium)",4000,"ja","gelegentlich (einige Male pro Monat)","nein","nein"
"123","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,188,9,4,7,4,2,"2,6","9","nein",8,15,"nein","FDP","Diplom (abgeschlossenes Studium)",2700,"ja","gelegentlich (einige Male pro Monat)","nein","ja"
"124","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",39,171,100,5,9,7,2,"3,1","5","nein",40,50,"ja","FDP","Hauptschul- oder Realschulabschluss",3800,"ja","nein, nie","nein","nein"
"125","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,175,45,8,8,6,5,"2,9","6","nein",17,40,"nein","Gruene","Diplom (abgeschlossenes Studium)",NA,"nein","nein, nie","nein","ja"
"126","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,192,50,6,7,6,5,"2,4","11","nein",25,25,"nein","FDP","Diplom (abgeschlossenes Studium)",3500,"ja","gelegentlich (einige Male pro Monat)","nein","nein"
"127","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",39,156,3,8,8,4,10,"3,3","15","ja",3,15,"nein","Gruene","Abitur",4000,"nein","nein, nie","nein","nein"
"128","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",41,174,100,10,10,7,6,"1,9","11","keine Ahnung",30,45,"nein","SPD","Diplom (abgeschlossenes Studium)",3500,"ja","haeufig (einige Male pro Woche)","nur gelegentlich","nein"
"129","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",34,166,1,3,7,3,3,"2,8","9","nein",35,35,"nein","Die Linke","Abitur",10,"ja","nein, nie","nein","nein"
"130","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,188,25,8,9,5,8,"3,2","0","nein",6,20,"ja","war nicht waehlen","Hauptschul- oder Realschulabschluss",2500,"nein","haeufig (einige Male pro Woche)","nein","ja"
"131","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",47,189,45,7,8,5,6,"2,5","8","ja",1,10,"ja","FDP","Diplom (abgeschlossenes Studium)",5000,"ja","haeufig (einige Male pro Woche)","ja","ja"
"132","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",42,178,2,6,7,4,4,"3,1","5","keine Ahnung",4.3,15,"nein","Gruene","Diplom (abgeschlossenes Studium)",5000,"ja","gelegentlich (einige Male pro Monat)","nein","nein"
"133","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",46,1.82,60,7,9,8,6,"3,5","11","nein",35,55,"nein","SPD","Hauptschul- oder Realschulabschluss",3000,"nein","haeufig (einige Male pro Woche)","ja","nein"
"134","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",39,165,10,10,10,10,7,"1,3","15","ja",45,55,"nein","CDU/CSU","Diplom (abgeschlossenes Studium)",NA,"ja","gelegentlich (einige Male pro Monat)","nein","nein"
"135","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",40,166,20,5,7,8,5,"2,9","7","keine Ahnung",13,25,"nein","CDU/CSU","Abitur",3000,"ja","gelegentlich (einige Male pro Monat)","nein","nein"
"136","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",46,182,0,6,8,6,4,"3,1","10","nein",10,40,"nein","SPD","Abitur",3500,"ja","gelegentlich (einige Male pro Monat)","nein","ja"
"137","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,186,30,6,10,9,7,"2,3","14","ja",20,50,"nein","SPD","Hauptschul- oder Realschulabschluss",50000,"ja","haeufig (einige Male pro Woche)","nein","nein"
"138","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",47,185,30,6,9,5,4,"2,2","12","ja",50,50,"nein","CDU/CSU","Diplom (abgeschlossenes Studium)",5000,"nein","gelegentlich (einige Male pro Monat)","nein","ja"
"139","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,180,60,4,8,4,5,"2,9","10","nein",25,50,"nein","war nicht waehlen","Abitur",5000,"ja","selten (einige Male pro Jahr)","nein","nein"
"140","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",42,170,3,7,8,9,10,"2,9","11","keine Ahnung",90,45,"moechte ich nicht sagen","eine andere Partei","Hauptschul- oder Realschulabschluss",2000,"nein","selten (einige Male pro Jahr)","nein","nein"
"141","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",39,173,25,7,8,5,8,"3,0","11","nein",5,40,"bin nicht sicher","SPD","Diplom (abgeschlossenes Studium)",3000,"nein","selten (einige Male pro Jahr)","nein","nein"
"142","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",36,161,5,7,7,9,3,"2,4","13","keine Ahnung",9,20,"ja","war nicht waehlen","Hauptschul- oder Realschulabschluss",3000,"nein","gelegentlich (einige Male pro Monat)","nein","nein"
"143","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,182,40,3,10,5,1,"1,9","11","nein",30,45,"ja","CDU/CSU","Hauptschul- oder Realschulabschluss",2700,"ja","gelegentlich (einige Male pro Monat)","nein","ja"
"144","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",35,170,11,8,6,6,10,"2,2","8","ja",37,44,"bin nicht sicher","AfD","Hauptschul- oder Realschulabschluss",2500,"ja","gelegentlich (einige Male pro Monat)","nur gelegentlich","nein"
"145","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",50,190,20,6,8,2,6,"3,5","4","nein",14,30,"nein","FDP","Hauptschul- oder Realschulabschluss",60000,"ja","haeufig (einige Male pro Woche)","nein","nein"
"146","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",43,174,5,6,7,9,6,"1,7","14","keine Ahnung",32,40,"nein","FDP","Hauptschul- oder Realschulabschluss",2000,"ja","selten (einige Male pro Jahr)","nein","nein"
"147","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",41,181,24,9,10,7,6,"1,6","15","ja",30,70,"nein","SPD","Hauptschul- oder Realschulabschluss",4500,"ja","nein, nie","nein","nein"
"148","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",36,166,20,7,9,3,6,"2,2","9","keine Ahnung",6,5,"ja","FDP","",3000,"nein","gelegentlich (einige Male pro Monat)","nein","ja"
"149","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",41,163,8,8,6,8,2,"1,8","15","nein",7,20,"bin nicht sicher","Gruene","Hauptschul- oder Realschulabschluss",4000,"nein","gelegentlich (einige Male pro Monat)","nein","nein"
"150","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",37,165,11,7,1,6,7,"2,2","11","keine Ahnung",35,40,"ja","FDP","Diplom (abgeschlossenes Studium)",5,"ja","gelegentlich (einige Male pro Monat)","nein","ja"
"151","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",48,1.91,6,6,10,6,3,"2,5","10","nein",4,25,"ja","war nicht waehlen","Hauptschul- oder Realschulabschluss",2500,"nein","gelegentlich (einige Male pro Monat)","nein","ja"
"152","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",38,163,12,7,5,3,5,"2,3","14","keine Ahnung",70,30,"bin nicht sicher","war nicht waehlen","Diplom (abgeschlossenes Studium)",10,"nein","selten (einige Male pro Jahr)","nein","ja"
"153","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,186,25,7,8,6,4,"1,7","11","ja",20,35,"nein","Gruene","Diplom (abgeschlossenes Studium)",60000,"ja","gelegentlich (einige Male pro Monat)","nein","ja"
"154","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,184,30,1,1,1,9,"2,6","10","nein",240,225,"moechte ich nicht sagen","eine andere Partei","Hauptschul- oder Realschulabschluss",2500,"ja","gelegentlich (einige Male pro Monat)","nein","nein"
"155","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",38,17289,62,8,10,2,1,"2,5","9","keine Ahnung",16,35,"nein","SPD","Hauptschul- oder Realschulabschluss",7000,"ja","nein, nie","nein","nein"
"156","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,180,40,4,8,6,6,"2,7","8","nein",17,35,"nein","CDU/CSU","Abitur",4000,"ja","gelegentlich (einige Male pro Monat)","nur gelegentlich","ja"
"157","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,187,7,6,9,10,6,"2,3","13","nein",3,7,"nein","eine andere Partei","Diplom (abgeschlossenes Studium)",3000,"ja","selten (einige Male pro Jahr)","nein","nein"
"158","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",42,181,45,5,9,6,8,"2,7","9","keine Ahnung",25,25,"nein","SPD","Hauptschul- oder Realschulabschluss",2000,"nein","haeufig (einige Male pro Woche)","nur gelegentlich","ja"
"159","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",41,183,45,8,NA,3,8,"3,2","3","keine Ahnung",13,25,"bin nicht sicher","SPD","Hauptschul- oder Realschulabschluss",3000,"ja","gelegentlich (einige Male pro Monat)","nein","ja"
"160","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,187,27,9,9,8,8,"2,5","10","ja",7,31,"ja","FDP","Diplom (abgeschlossenes Studium)",2500,"nein","gelegentlich (einige Male pro Monat)","nein","nein"
"161","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",46,177,35,4,7,6,2,"2,3","4","ja",6,15,"nein","FDP","Hauptschul- oder Realschulabschluss",2500,"ja","haeufig (einige Male pro Woche)","nein","nein"
"162","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",40,167,18,7,7,7,7,"2,7","9","keine Ahnung",13,15,"moechte ich nicht sagen","FDP","Abitur",5000,"ja","gelegentlich (einige Male pro Monat)","nein","nein"
"163","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",39,158,0,5,10,4,5,"3,5","10","keine Ahnung",28,100,"nein","war nicht waehlen","",3000,"nein","nein, nie","nein","nein"
"164","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",46,196,5,5,4,6,5,"3,8","5","keine Ahnung",3,25,"nein","war nicht waehlen","Abitur",2500,"ja","gelegentlich (einige Male pro Monat)","nur gelegentlich","nein"
"165","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",38,167,36,9,9,3,10,"2,5","6","nein",80,45,"nein","CDU/CSU","Hauptschul- oder Realschulabschluss",2300,"ja","nein, nie","nein","nein"
"166","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,179,16,7,8,5,4,"2,7","8","nein",13,5,"ja","Gruene","Diplom (abgeschlossenes Studium)",NA,"nein","haeufig (einige Male pro Woche)","nein","ja"
"167","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",40,168,16,5,9,7,2,"2,3","10","keine Ahnung",10,20,"ja","FDP","Hauptschul- oder Realschulabschluss",48000,"ja","selten (einige Male pro Jahr)","nein","nein"
"168","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",40.5,164,0,7,9,6,5,"2,7","7","nein",45,40,"ja","war nicht waehlen","Abitur",2500,"ja","selten (einige Male pro Jahr)","nur gelegentlich","ja"
"169","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,193,40,8,9,4,4,"3,1","5","keine Ahnung",50,70,"nein","Gruene","Abitur",4000,"ja","gelegentlich (einige Male pro Monat)","ja","ja"
"170","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,175,30,3,9,4,2,"2,5","4","nein",14,35,"ja","Gruene","",2500,"ja","gelegentlich (einige Male pro Monat)","nur gelegentlich","ja"
"171","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,184,25,9,7,6,7,"3,1","9","nein",14,10,"ja","FDP","Dr.",1500,"nein","selten (einige Male pro Jahr)","nur gelegentlich","nein"
"172","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",35,166,23,6,7,9,2,"2,2","15","ja",12,40,"nein","","Diplom (abgeschlossenes Studium)",1,"ja","selten (einige Male pro Jahr)","nein","nein"
"173","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,182,15,8,9,9,7,"1,7","kann Frage nicht sinnvoll beantworten","ja",0,18,"nein","war nicht waehlen","Diplom (abgeschlossenes Studium)",3000,"nein","nein, nie","nein","nein"
"174","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",42,168,35,7,9,6,3,"2,9","kann Frage nicht sinnvoll beantworten","ja",17,55,"nein","CDU/CSU","Hauptschul- oder Realschulabschluss",1000,"ja","nein, nie","nein","nein"
"175","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",39,175,15,3,4,1,3,"2,9","0","nein",31,30,"ja","eine andere Partei","Diplom (abgeschlossenes Studium)",4000,"ja","gelegentlich (einige Male pro Monat)","nein","nein"
"176","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",42,1.78,35,2,8,2,3,"3,2","5","ja",25,40,"nein","SPD","Abitur",4000,"ja","gelegentlich (einige Male pro Monat)","nur gelegentlich","ja"
"177","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",41,177,35,4,7,3,1,"3,3","5","ja",25,45,"nein","SPD","Abitur",1000,"ja","gelegentlich (einige Male pro Monat)","nur gelegentlich","ja"
"178","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",46,176,65,6,8,4,5,"2,4","8","keine Ahnung",9,50,"nein","FDP","Hauptschul- oder Realschulabschluss",2000,"ja","gelegentlich (einige Male pro Monat)","nein","ja"
"179","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",40,157,8,5,3,1,4,"3,1","8","nein",7,35,"nein","war nicht waehlen","Hauptschul- oder Realschulabschluss",NA,"ja","nein, nie","nein","nein"
"180","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",39,176,0,10,9,8,6,"2,3","10","nein",6,10,"nein","CDU/CSU","Abitur",3000,"ja","nein, nie","nein","nein"
"181","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",42,177,70,8,8,8,5,"3,1","10","keine Ahnung",16,5,"nein","SPD","Hauptschul- oder Realschulabschluss",NA,"ja","nein, nie","nein","ja"
"182","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",47,169,6,2,1,1,1,"3,8","7","nein",16,95,"nein","war nicht waehlen","Diplom (abgeschlossenes Studium)",NA,"nein","nein, nie","nein","nein"
"183","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,185,50,4,8,3,5,"3,0","4","nein",6,17,"nein","FDP","Diplom (abgeschlossenes Studium)",2500,"ja","gelegentlich (einige Male pro Monat)","ja","ja"
"184","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",46,195,35,8,8,7,5,"2,3","8","keine Ahnung",1,10,"ja","war nicht waehlen","Abitur",2.8,"ja","gelegentlich (einige Male pro Monat)","nein","ja"
"185","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",39,170,15,9,2,5,4,"2,9","10","ja",20,50,"nein","CDU/CSU","Abitur",NA,"ja","selten (einige Male pro Jahr)","nein","nein"
"186","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,184,60,5,10,5,8,"2,5","11","ja",1,15,"nein","FDP","Diplom (abgeschlossenes Studium)",4500,"ja","gelegentlich (einige Male pro Monat)","ja","ja"
"187","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,171,52,7,8,5,6,"2,2","6","keine Ahnung",35,35,"ja","FDP","Abitur",2500,"ja","gelegentlich (einige Male pro Monat)","nein","nein"
"188","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",40,188,40,7,8,6,8,"1,9","10","keine Ahnung",6,15,"","SPD","Hauptschul- oder Realschulabschluss",4000,"ja","nein, nie","nein","nein"
"189","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",42,148,36,2,1,2,1,"2,0","11","ja",27,5,"nein","war nicht waehlen","Hauptschul- oder Realschulabschluss",5000,"nein","gelegentlich (einige Male pro Monat)","nein","nein"
"190","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",41,169,0,4,9,4,4,"3,1","5","keine Ahnung",5.9,25,"nein","SPD","Hauptschul- oder Realschulabschluss",2200,"nein","nein, nie","nein","nein"
"191","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",46,182,NA,7,3,9,10,"","","keine Ahnung",3,NA,"nein","Gruene","",3500,"ja","selten (einige Male pro Jahr)","nein","nein"
"192","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,174,45,3,7,1,2,"3,1","7","ja",35,25,"nein","SPD","Abitur",2000,"ja","gelegentlich (einige Male pro Monat)","nur gelegentlich","ja"
