"","Zeitstempel","X...WICHTIG.....Ich.bin.damit.einverstanden..dass.die.mit.dieser.Umfrage.gesammelten..anonymen..Daten.vom.Dozenten.zum.Zwecke.der.Veranschaulichung.von.Methoden.genutzt.werden..Dieses.Einverstaendnis.kann.jederzeit.durch.Nachricht.an.den.Dozenten.widerrufen.werden..Potenziell.sensible.Informationen.werden.nicht.an.Dritte.weitergegeben..","Ihr.Geschlecht.","Welche.Schuhgroesse.haben.Sie.","Was.ist.Ihre.Koerpergroesse..in.cm..","Geben.Sie.an.bzw..schaetzen.Sie..wie.viele.Liegestuetze.Sie.am.Stueck.schaffen.","Auf.einer.Skala.von.1..ueberhaupt.nicht..bis.10..sehr.stark...wie.sehr.interessieren.Sie.sich.fuer.Statistik.","Auf.einer.Skala.von.1..ueberhaupt.nicht..bis.10..sehr.stark...wie.sehr.interessieren.Sie.sich.fuer.wirtschaftliche.Zusammenhaenge.","Auf.einer.Skala.von.1..ueberhaupt.nicht..bis.10..sehr.stark...wie.sehr.interessieren.Sie.sich.fuer.Mathematik.","Auf.einer.Skala.von.1..ueberhaupt.nicht.gerne..bis.10..sehr.gerne...wie.gerne.ueben.Sie.Programmiertaetigkeiten.aus.","Wie.war.Ihr.Abischnitt.","Wie.viele.Punkte.hatten.Sie.in.der.Schule.zuletzt.in.Mathematik.","Koennten.Sie.sich.vorstellen..einen.Dr..zu.machen.","Wie.weit.entfernt.von.der.Uni.wohnen.Sie.waehrend.des.Semesters..Schaetzen.Sie.die.Entfernung..in.km..","Wie.lange.brauchen.Sie.fuer.Ihren.Weg.zur.Uni..Schaetzen.Sie.die.Dauer..in.Minuten..","Haben.Sie.derzeit.einen.Partner.bzw..eine.Partnerin.","Welche.Partei.haben..bzw..haetten..Sie.bei.der.Bundestagswahl.gewaehlt.","Was.ist.der.hoechste.von.einem.Ihrer.Elternteile.erreichte.Bildungsgrad.","Welches.Einstiegsgehalt..Euro..monatlich..netto..erwarten.Sie.fuer.sich.nach.Abschluss.des.Studiums.","Kommen.Sie.aus.Ostwestfalen.","Ihre.Handy.Bildschirmzeit.am.Tag...in.Stunden.","Trinken.Sie.Alkohol.","Rauchen.Sie.","Haben.Sie.schon.mal.gekifft."
"93","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,179,25,6,5,9,4,"2,3","9","keine Ahnung",5,7,"nein","SPD","Diplom (abgeschlossenes Studium)",3000,"nein","10","selten (einige Male pro Jahr)","nein","nein"
"94","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,186,30,6,7,5,2,"1,6","11","ja",30,45,"nein","FDP","Diplom (abgeschlossenes Studium)",3500,"ja","4","haeufig (einige Male pro Woche)","nur gelegentlich","ja"
"95","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,187,40,3,9,4,2,"2,8","8","ja",8,35,"nein","FDP","Dr.",450,"ja","3","haeufig (einige Male pro Woche)","nur gelegentlich","ja"
"96","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",38,157,6,5,7,5,8,"2,8","9","keine Ahnung",6,10,"nein","war nicht waehlen","Abitur",4000,"ja","7","nein, nie","nein","nein"
"97","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",46,199,20,8,9,8,8,"1,2","14","ja",9,20,"ja","FDP","Diplom (abgeschlossenes Studium)",3000,"ja","1","gelegentlich (einige Male pro Monat)","nein","ja"
"98","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,181,55,10,7,9,6,"2,1","15","nein",20,65,"nein","Die Linke","Diplom (abgeschlossenes Studium)",5000,"ja","3","gelegentlich (einige Male pro Monat)","nein","nein"
"99","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,178,42,6,9,7,7,"3,1","8","keine Ahnung",36,25,"nein","war nicht waehlen","Hauptschul- oder Realschulabschluss",3000,"ja","5","gelegentlich (einige Male pro Monat)","ja","ja"
"100","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,180,52,5,8,6,4,"2,8","1","keine Ahnung",40,130,"nein","eine andere Partei","Hauptschul- oder Realschulabschluss",NA,"ja","5","gelegentlich (einige Male pro Monat)","nur gelegentlich","ja"
"101","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,177,25,8,8,7,4,"3,4","11","ja",11,40,"nein","war nicht waehlen","Hauptschul- oder Realschulabschluss",2500,"ja","3","haeufig (einige Male pro Woche)","nur gelegentlich","nein"
"102","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",46,189,50,6,6,6,7,"2,4","10","keine Ahnung",50,50,"bin nicht sicher","war nicht waehlen","Hauptschul- oder Realschulabschluss",6000,"ja","5","gelegentlich (einige Male pro Monat)","ja","ja"
"103","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,172,47,8,9,10,7,"1,9","12","keine Ahnung",1,10,"nein","war nicht waehlen","Diplom (abgeschlossenes Studium)",2500,"ja","5","gelegentlich (einige Male pro Monat)","nein","nein"
"104","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,186,5,6,9,5,6,"1,7","13","keine Ahnung",7,40,"bin nicht sicher","FDP","Diplom (abgeschlossenes Studium)",2000,"ja","5","gelegentlich (einige Male pro Monat)","nur gelegentlich","ja"
"105","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",40,169,25,7,9,5,5,"1,3","10","ja",8,30,"ja","Gruene","Dr.",NA,"ja","5","gelegentlich (einige Male pro Monat)","nein","nein"
"106","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",41,173,60,6,7,9,1,"1,3","14","keine Ahnung",50,100,"nein","FDP","Diplom (abgeschlossenes Studium)",NA,"nein","2","nein, nie","nein","nein"
"107","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,178,20,7,7,7,6,"2,5","9","nein",16,20,"nein","FDP","Abitur",NA,"ja","5","haeufig (einige Male pro Woche)","nein","ja"
"108","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,186,70,5,10,3,3,"2,1","8","ja",6,30,"nein","FDP","Abitur",2500,"ja","4,5","haeufig (einige Male pro Woche)","nur gelegentlich","ja"
"109","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",42,184,30,1,6,5,7,"2,7","15","keine Ahnung",4,10,"bin nicht sicher","Die Linke","Diplom (abgeschlossenes Studium)",1.8,"nein","5","haeufig (einige Male pro Woche)","ja","nein"
"110","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",42.5,170,47,8,8,5,1,"2,0","7","keine Ahnung",8,20,"nein","war nicht waehlen","Diplom (abgeschlossenes Studium)",2800,"ja","5","nein, nie","nein","ja"
"111","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,186,25,7,8,6,4,"2,8","9","nein",1,10,"ja","","Abitur",5000,"nein","2","gelegentlich (einige Male pro Monat)","nein","ja"
"112","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",42,175,17,5,9,5,8,"2,7","7","keine Ahnung",4,20,"ja","FDP","Abitur",3000,"ja","8","nein, nie","nein","ja"
"113","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,184,20,9,7,10,6,"1,5","15","keine Ahnung",50,50,"bin nicht sicher","Gruene","Diplom (abgeschlossenes Studium)",4000,"ja","6","selten (einige Male pro Jahr)","nein","nein"
"114","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",37,151,5,5,7,6,4,"3,2","11","keine Ahnung",28,15,"ja","war nicht waehlen","Hauptschul- oder Realschulabschluss",3500,"ja","6","nein, nie","nein","nein"
"115","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",41,184,100,5,9,7,3,"3,0","13","ja",8,10,"bin nicht sicher","FDP","Diplom (abgeschlossenes Studium)",3500,"ja","9","haeufig (einige Male pro Woche)","ja","ja"
"116","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",49,185,30,8,9,4,5,"3,4","7","keine Ahnung",8,5,"ja","Die Linke","Hauptschul- oder Realschulabschluss",2500,"ja","4","gelegentlich (einige Male pro Monat)","ja","ja"
"117","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",42,178,15,9,10,5,7,"2,8","9","keine Ahnung",7,25,"nein","SPD","Diplom (abgeschlossenes Studium)",2000,"ja","1","selten (einige Male pro Jahr)","nein","nein"
"118","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",42,175,50,6,8,7,5,"1,7","9","keine Ahnung",39,80,"ja","FDP","Abitur",3500,"ja","5","gelegentlich (einige Male pro Monat)","nein","ja"
"119","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,182,32,8,9,4,7,"3,0","4","keine Ahnung",14,21,"nein","FDP","Hauptschul- oder Realschulabschluss",3000,"ja","4","gelegentlich (einige Male pro Monat)","nur gelegentlich","ja"
"120","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",41,169,10,9,9,3,2,"2,2","10","ja",30,35,"ja","CDU/CSU","Hauptschul- oder Realschulabschluss",NA,"ja","5 ","selten (einige Male pro Jahr)","nein","ja"
"121","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,186,25,7,10,4,5,"2,8","8","nein",8,40,"ja","eine andere Partei","Dr.",2500,"ja","3","selten (einige Male pro Jahr)","nein","nein"
"122","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",47,201,34,7,7,6,2,"2,8","11","keine Ahnung",40,55,"nein","FDP","Abitur",4000,"ja","5","gelegentlich (einige Male pro Monat)","nein","ja"
"123","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",41,177,8,4,8,3,2,"3,2","4","keine Ahnung",16,15,"ja","CDU/CSU","Hauptschul- oder Realschulabschluss",2000,"ja","5","selten (einige Male pro Jahr)","nein","nein"
"124","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",38,170,22,6,4,4,10,"2,5","9","nein",0,30,"ja","Gruene","Hauptschul- oder Realschulabschluss",3,"ja","3","gelegentlich (einige Male pro Monat)","nein","nein"
"125","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",40,180,13,6,10,5,3,"2,0","10","keine Ahnung",13,55,"nein","SPD","Diplom (abgeschlossenes Studium)",4000,"ja","9","gelegentlich (einige Male pro Monat)","nein","nein"
"126","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",47,194,20,8,9,8,6,"2,0","15","keine Ahnung",38,35,"ja","Gruene","Hauptschul- oder Realschulabschluss",3000,"ja","3","gelegentlich (einige Male pro Monat)","nein","nein"
"127","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",38,168,10,6,9,7,4,"3,0","1","nein",45,40,"nein","FDP","Diplom (abgeschlossenes Studium)",4000,"ja","5","gelegentlich (einige Male pro Monat)","nein","nein"
"128","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",37,171,5,5,6,6,3,"1,6","12","ja",26,65,"nein","war nicht waehlen","Abitur",2800,"ja","5","selten (einige Male pro Jahr)","nein","nein"
"129","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",40,181,32,6,8,5,7,"3,8","5","keine Ahnung",8,50,"nein","FDP","Diplom (abgeschlossenes Studium)",3500,"nein","2","gelegentlich (einige Male pro Monat)","ja","ja"
"130","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,187,30,3,10,3,7,"2,2","9","ja",11,25,"nein","FDP","Dr.",5000,"ja","6","gelegentlich (einige Male pro Monat)","ja","ja"
"131","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",46,NA,80,3,9,6,8,"2,6","kann Frage nicht sinnvoll beantworten","ja",16,50,"ja","FDP","Abitur",30,"ja","7","gelegentlich (einige Male pro Monat)","nur gelegentlich","ja"
"132","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",47,202,20,9,8,7,7,"2,4","11","keine Ahnung",3,10,"nein","AfD","Hauptschul- oder Realschulabschluss",1500,"ja","3,5","haeufig (einige Male pro Woche)","nur gelegentlich","nein"
"133","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",46,188,10,6,9,3,5,"3,0","13","nein",16,50,"bin nicht sicher","war nicht waehlen","Hauptschul- oder Realschulabschluss",520,"ja","4","gelegentlich (einige Male pro Monat)","nur gelegentlich","ja"
"134","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",47,179,30,5,7,9,1,"3,2","8","ja",15,70,"nein","war nicht waehlen","Hauptschul- oder Realschulabschluss",NA,"ja","8","nein, nie","nur gelegentlich","ja"
"135","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",42,174,30,10,10,9,8,"1,8","13","nein",34,30,"nein","SPD","Diplom (abgeschlossenes Studium)",NA,"ja","7","gelegentlich (einige Male pro Monat)","ja","ja"
"136","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,193,48,7,10,5,8,"3,3","8","nein",4,5,"ja","eine andere Partei","Abitur",4,"nein","5,5","gelegentlich (einige Male pro Monat)","ja","ja"
"137","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",40,170,0,3,5,3,1,"2,6","9","nein",25,40,"ja","war nicht waehlen","Abitur",5000,"ja","4-5 ","nein, nie","nein","nein"
"138","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",40,166,0,7,8,6,5,"3,1","10","keine Ahnung",55,100,"nein","war nicht waehlen","Diplom (abgeschlossenes Studium)",3600,"nein","10","nein, nie","nein","nein"
"139","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,180,12,1,7,3,2,"2,5","11","nein",5,20,"nein","war nicht waehlen","Abitur",2800,"ja","4","gelegentlich (einige Male pro Monat)","nein","ja"
"140","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",39,160,NA,3,6,4,3,"2,6","4","keine Ahnung",50,50,"nein","war nicht waehlen","Hauptschul- oder Realschulabschluss",3000,"ja","","gelegentlich (einige Male pro Monat)","nein","nein"
"141","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,190,30,6,8,8,6,"1,4","12","keine Ahnung",11,5,"moechte ich nicht sagen","war nicht waehlen","Diplom (abgeschlossenes Studium)",2600,"ja","4","gelegentlich (einige Male pro Monat)","nein","nein"
"142","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",42,187,6,6,6,8,7,"2,8","6","nein",2,10,"nein","Die Linke","Diplom (abgeschlossenes Studium)",3000,"ja","5","nein, nie","nein","nein"
"143","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",49,195,45,8,10,7,9,"3,1","4","nein",20,27,"moechte ich nicht sagen","FDP","Diplom (abgeschlossenes Studium)",3000,"nein","5","gelegentlich (einige Male pro Monat)","nur gelegentlich","ja"
"144","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",42,178,35,6,10,8,9,"2,6","9","ja",6,15,"nein","war nicht waehlen","Hauptschul- oder Realschulabschluss",3500,"ja","1 std ","nein, nie","nein","ja"
"145","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",41,178,7,4,3,10,4,"1,8","15","nein",2,10,"ja","Gruene","Hauptschul- oder Realschulabschluss",4000,"nein","7","gelegentlich (einige Male pro Monat)","nein","nein"
"146","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",47,198,40,5,9,2,7,"2,7","4","nein",4,10,"nein","FDP","Abitur",2500,"ja","2","selten (einige Male pro Jahr)","nein","ja"
"147","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",47,185,35,7,9,8,5,"1,7","14","keine Ahnung",21,45,"nein","SPD","Hauptschul- oder Realschulabschluss",120000,"ja","3","nein, nie","nein","nein"
"148","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",42,183,35,6,10,6,NA,"3,2","8","nein",65,41,"nein","FDP","Diplom (abgeschlossenes Studium)",3000,"ja","3","nein, nie","nein","nein"
"149","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,184,45,8,9,2,5,"3,0","9","ja",35,30,"moechte ich nicht sagen","war nicht waehlen","Hauptschul- oder Realschulabschluss",2600,"ja","8","nein, nie","nein","ja"
"150","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",42,188,0,4,6,2,10,"2,2","5","ja",17,40,"ja","war nicht waehlen","Diplom (abgeschlossenes Studium)",NA,"nein","20","nein, nie","ja","nein"
"151","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",35,152,2,2,5,2,1,"2,5","9","nein",20,55,"nein","war nicht waehlen","Hauptschul- oder Realschulabschluss",2500,"nein","4","gelegentlich (einige Male pro Monat)","nein","nein"
"152","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,185,46,4,9,6,1,"2,2","11","nein",32,70,"ja","FDP","Hauptschul- oder Realschulabschluss",2800,"ja","3","selten (einige Male pro Jahr)","nein","ja"
"153","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",47,191,11,2,10,1,6,"2,6","8","nein",13,5,"bin nicht sicher","CDU/CSU","Hauptschul- oder Realschulabschluss",3000,"ja","8","nein, nie","nein","nein"
"154","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",42,175,35,7,9,5,3,"2,4","10","keine Ahnung",0,10,"nein","CDU/CSU","Hauptschul- oder Realschulabschluss",3000,"nein","4","gelegentlich (einige Male pro Monat)","nein","nein"
"155","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,183,35,5,10,3,3,"3,4","9","nein",7,35,"ja","FDP","Diplom (abgeschlossenes Studium)",40000,"nein","3","gelegentlich (einige Male pro Monat)","nein","nein"
"156","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",47,188,20,7,6,1,4,"2,8","2","nein",5,10,"nein","FDP","Diplom (abgeschlossenes Studium)",3800,"ja","10","gelegentlich (einige Male pro Monat)","nein","nein"
"157","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",38,162,0,3,5,7,6,"2,5","kann Frage nicht sinnvoll beantworten","keine Ahnung",47,60,"nein","Die Linke","Abitur",3500,"ja","5","selten (einige Male pro Jahr)","nein","ja"
"158","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,186,45,6,10,3,9,"2,6","0","keine Ahnung",100,30,"nein","SPD","Diplom (abgeschlossenes Studium)",3500,"ja","3","selten (einige Male pro Jahr)","ja","ja"
"159","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,189,30,3,5,3,2,"3,7","7","keine Ahnung",8,NA,"nein","","Hauptschul- oder Realschulabschluss",10,"ja","","nein, nie","nein","nein"
"160","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,176,40,8,8,5,1,"2,0","14","nein",40,60,"ja","war nicht waehlen","Hauptschul- oder Realschulabschluss",2500,"ja","7","selten (einige Male pro Jahr)","nein","ja"
"161","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",36,1.63,15,6,6,6,2,"2,5","14","keine Ahnung",7,25,"nein","war nicht waehlen","Abitur",2500,"ja","7","selten (einige Male pro Jahr)","ja","ja"
"162","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",42.5,171,6,9,10,10,5,"1,0","13","keine Ahnung",1.4,10,"nein","Gruene","Diplom (abgeschlossenes Studium)",6000,"nein","1.5","selten (einige Male pro Jahr)","nein","nein"
"163","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",46,192,40,1,7,1,5,"3,5","11","nein",14,40,"nein","FDP","Hauptschul- oder Realschulabschluss",3000,"ja","4","selten (einige Male pro Jahr)","nein","nein"
"164","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,180,70,10,10,9,9,"2,5","8","keine Ahnung",11,55,"ja","CDU/CSU","",2500,"ja","3 Stunden ","selten (einige Male pro Jahr)","nein","nein"
"165","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,180,45,8,8,4,5,"3,7","10","keine Ahnung",7,45,"ja","FDP","Abitur",5000,"ja","4","selten (einige Male pro Jahr)","nein","ja"
"166","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",47,189,57,3,6,4,2,"3,0","2","ja",7,30,"bin nicht sicher","war nicht waehlen","Diplom (abgeschlossenes Studium)",3500,"ja","","gelegentlich (einige Male pro Monat)","nein","nein"
"167","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",39,161,11,6,7,8,3,"3,3","8","ja",100,65,"nein","war nicht waehlen","Abitur",3000,"ja","6","gelegentlich (einige Male pro Monat)","nein","nein"
"168","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,186,50,9,10,8,8,"2,4","10","nein",4,40,"ja","AfD","Abitur",1.8,"nein","3","selten (einige Male pro Jahr)","nein","nein"
"169","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",38,164,12,4,9,3,6,"2,5","4","keine Ahnung",6,30,"nein","FDP","Abitur",2500,"ja","9","gelegentlich (einige Male pro Monat)","nur gelegentlich","ja"
"170","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,185,30,7,8,6,4,"3,1","7","nein",9,50,"ja","FDP","Hauptschul- oder Realschulabschluss",50,"ja","3 ","nein, nie","nein","nein"
"171","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",42,187,20,2,5,8,1,"2,1","12","nein",60,20,"nein","Die Linke","Abitur",2500,"ja","4","nein, nie","nein","nein"
"172","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,189,5,8,7,4,3,"3,1","6","ja",110,80,"nein","war nicht waehlen","Hauptschul- oder Realschulabschluss",5000,"nein","3,5","nein, nie","nein","ja"
"173","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",36,158,0,4,6,1,6,"2,7","2","keine Ahnung",25,50,"nein","war nicht waehlen","Abitur",3000,"ja","3","nein, nie","nein","nein"
"174","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",34,165,12,9,10,9,3,"2,8","13","nein",5,45,"nein","CDU/CSU","Diplom (abgeschlossenes Studium)",3000,"nein","3","selten (einige Male pro Jahr)","nein","nein"
"175","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",39,170,5,8,8,10,5,"1,1","15","keine Ahnung",6,20,"ja","war nicht waehlen","Abitur",5000,"ja","5","selten (einige Male pro Jahr)","nein","nein"
"176","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",42,186,35,3,6,4,5,"3,1","3","keine Ahnung",12,5,"ja","FDP","Diplom (abgeschlossenes Studium)",2500,"ja","8","selten (einige Male pro Jahr)","nur gelegentlich","ja"
"177","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,202,31,7,7,10,1,"2,5","15","nein",50,105,"nein","FDP","Abitur",2500,"ja","5","nein, nie","nein","nein"
"178","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,183,45,6,7,6,6,"3,3","13","keine Ahnung",11,8,"nein","FDP","Hauptschul- oder Realschulabschluss",2500,"ja","7,5","gelegentlich (einige Male pro Monat)","nein","nein"
"179","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",47,187,40,2,8,2,1,"2,3","12","keine Ahnung",40,80,"ja","FDP","Hauptschul- oder Realschulabschluss",4000,"ja","12","gelegentlich (einige Male pro Monat)","nein","ja"
"180","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",41,172,56,7,8,7,5,"1,6","15","keine Ahnung",50,60,"nein","Die Linke","Diplom (abgeschlossenes Studium)",3200,"ja","6","haeufig (einige Male pro Woche)","nur gelegentlich","ja"
"181","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",46,188,45,7,7,3,2,"3,2","5","nein",14,25,"nein","war nicht waehlen","Hauptschul- oder Realschulabschluss",5000,"ja","1,5","selten (einige Male pro Jahr)","nein","nein"
"182","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,172,25,2,1,2,2,"3,4","5","nein",9,NA,"nein","war nicht waehlen","Hauptschul- oder Realschulabschluss",50000,"ja","","nein, nie","nein","nein"
"183","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,175,40,6,9,6,7,"2,5","4","keine Ahnung",9,20,"nein","Gruene","Diplom (abgeschlossenes Studium)",3500,"ja","5","nein, nie","nein","ja"
"184","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",46,178,60,5,8,5,2,"1,3","14","ja",18,60,"nein","Gruene","Hauptschul- oder Realschulabschluss",2000,"ja","4","gelegentlich (einige Male pro Monat)","nur gelegentlich","ja"
"185","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",35,170,15,8,5,6,10,"3,3","7","ja",8,16,"nein","FDP","Diplom (abgeschlossenes Studium)",2500,"ja","8","gelegentlich (einige Male pro Monat)","nein","ja"
"186","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,186,65,9,10,9,3,"2,2","8","keine Ahnung",40,100,"ja","FDP","Hauptschul- oder Realschulabschluss",2100,"ja","5","gelegentlich (einige Male pro Monat)","nein","ja"
"187","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",48,191,75,5,7,8,1,"2,1","11","ja",3,5,"nein","FDP","Dr.",NA,"ja","8","gelegentlich (einige Male pro Monat)","ja","ja"
"188","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,175,40,6,10,6,3,"1,9","8","keine Ahnung",8,28,"ja","FDP","Diplom (abgeschlossenes Studium)",2000,"ja","3:30","gelegentlich (einige Male pro Monat)","nein","nein"
"189","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,176,10,7,9,7,9,"2,0","14","ja",3,4,"nein","Gruene","Dr.",2000,"ja","","gelegentlich (einige Male pro Monat)","nein","nein"
"190","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,175,25,10,10,3,1,"3,3","6","nein",40,45,"nein","FDP","Hauptschul- oder Realschulabschluss",4500,"ja","2","gelegentlich (einige Male pro Monat)","nein","ja"
"191","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",46,1.62,65,5,6,4,3,"2,9","10","nein",12,30,"nein","war nicht waehlen","Hauptschul- oder Realschulabschluss",3000,"ja","","nein, nie","nein","nein"
"192","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,171,25,5,8,4,7,"3,2","6","nein",20,50,"ja","AfD","Diplom (abgeschlossenes Studium)",2800,"ja","4","gelegentlich (einige Male pro Monat)","nein","ja"
