"","Zeitstempel","X...WICHTIG.....Ich.bin.damit.einverstanden..dass.die.mit.dieser.Umfrage.gesammelten..anonymen..Daten.vom.Dozenten.zum.Zwecke.der.Veranschaulichung.von.Methoden.genutzt.werden..Potenziell.sensible.Informationen.werden.nicht.an.Dritte.weitergegeben..","Ihr.Geschlecht.","Welche.Schuhgroesse.haben.Sie.","Welche.Koerpergroesse..in.cm..steht.in.Ihrem.Perso.","Geben.Sie.an.bzw..schaetzen.Sie..wie.viele.Liegestuetze.Sie.am.Stueck.schaffen.","Auf.einer.Skala.von.1..ueberhaupt.nicht..bis.10..sehr.stark...wie.sehr.interessieren.Sie.sich.fuer.Statistik.","Auf.einer.Skala.von.1..ueberhaupt.nicht..bis.10..sehr.stark...wie.sehr.interessieren.Sie.sich.fuer.wirtschaftliche.Zusammenhaenge.","Auf.einer.Skala.von.1..ueberhaupt.nicht..bis.10..sehr.stark...wie.sehr.interessieren.Sie.sich.fuer.Mathematik.","Auf.einer.Skala.von.1..ueberhaupt.nicht.gerne..bis.10..sehr.gerne...wie.gerne.ueben.Sie.Programmiertaetigkeiten.aus.","Wie.war.Ihr.Abischnitt.","Wie.viele.Punkte.hatten.Sie.in.der.Schule.zuletzt.in.Mathematik.","Wie.weit.entfernt.von.der.Uni.wohnen.Sie.waehrend.des.Semesters..Schaetzen.Sie.die.Entfernung..in.km..","Wie.lange.brauchen.Sie.fuer.Ihren.Weg.zur.Uni..Schaetzen.Sie.die.Dauer..in.Minuten..","Koennen.Sie.sich.vorstellen..einen.Dr..zu.machen.","Wie.viele.Stunden.pro.Woche.treiben.Sie.Sport.","Haben.Sie.derzeit.einen.Partner.bzw..eine.Partnerin.","Welche.Partei.werden.Sie.bei.der.naechsten.Bundestagswahl.voraussichtlich.waehlen.","Was.ist.der.hoechste.von.einem.Ihrer.Elternteile.erreichte.Bildungsgrad.","Welches.Einstiegsgehalt..Euro..monatlich..netto..erwarten.Sie.fuer.sich.nach.Abschluss.des.Studiums.","Kommen.Sie.aus.Ostwestfalen.","Ihre.Handy.Bildschirmzeit.am.Tag...in.Stunden.","Trinken.Sie.Alkohol.","Rauchen.Sie.","Haben.Sie.schon.mal.gekifft."
"91","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",38,166,0,3,8,3,1,"2,3","9",1,20,"ja",2,"ja","FDP","Diplom (abgeschlossenes Studium)",2500,"nein","7","gelegentlich (einige Male pro Monat)","nein","ja"
"92","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",41,184,6,7,8,5,2,"2,0","11",4,20,"ja",1.5,"nein","CDU/CSU","Hauptschul- oder Realschulabschluss",4,"nein","5","selten (einige Male pro Jahr)","nein","nein"
"93","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,155,35,7,2,9,2,"2,5","13",25,40,"ja",9,"nein","CDU/CSU","Hauptschul- oder Realschulabschluss",2400,"ja","5","gelegentlich (einige Male pro Monat)","nur gelegentlich","ja"
"94","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,175,40,1,4,2,5,"2,4","5",10,40,"keine Ahnung",1,"nein","werde nicht waehlen","Abitur",2400,"ja","7,5","nein, nie","nein","ja"
"95","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",38,159,0,6,4,1,3,"3,4","6",13,20,"keine Ahnung",9,"nein","eine andere Partei","Hauptschul- oder Realschulabschluss",3.5,"nein","25","nein, nie","nein","nein"
"96","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",40,158,16,3,8,9,4,"3,0","3",58,45,"keine Ahnung",3,"nein","CDU/CSU","Hauptschul- oder Realschulabschluss",4000,"nein","4","gelegentlich (einige Male pro Monat)","nein","nein"
"97","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",49,189,45,8,10,7,7,"3,6","2",26,15,"keine Ahnung",7,"nein","FDP","Hauptschul- oder Realschulabschluss",40000,"ja","5","selten (einige Male pro Jahr)","nein","ja"
"98","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",38,164,0,2,4,3,2,"2,6","11",9,10,"keine Ahnung",4,"ja","SPD","Diplom (abgeschlossenes Studium)",2000,"ja","7","gelegentlich (einige Male pro Monat)","nein","nein"
"99","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",39,159,50,7,10,8,1,"2,0","10",28,40,"keine Ahnung",NA,"nein","","Abitur",NA,"","1,5","selten (einige Male pro Jahr)","nein","nein"
"100","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",42,168,7,9,6,5,9,"2,8","7",5,50,"keine Ahnung",9,"nein","Gruene","Abitur",3.5,"ja","6","nein, nie","nein","nein"
"101","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",41,171,0,3,6,1,3,"3,1","3",48,70,"nein",10,"ja","Gruene","Hauptschul- oder Realschulabschluss",3000,"ja","4","gelegentlich (einige Male pro Monat)","nein","ja"
"102","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,183,40,4,9,8,5,"3,0","7",55,58,"keine Ahnung",3,"nein","CDU/CSU","Hauptschul- oder Realschulabschluss",2500,"ja","2","gelegentlich (einige Male pro Monat)","nein","ja"
"103","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",39,165,0,2,5,1,2,"3,3","2",45,30,"nein",1,"nein","Die Linke","Diplom (abgeschlossenes Studium)",5000,"ja","5","selten (einige Male pro Jahr)","nein","nein"
"104","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",41,176,55,8,4,9,4,"1,5","15",27,70,"keine Ahnung",10,"nein","CDU/CSU","Diplom (abgeschlossenes Studium)",3500,"ja","3","haeufig (einige Male pro Woche)","nein","ja"
"105","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,184,20,4,9,8,5,"2,1","15",0,10,"keine Ahnung",4.5,"nein","Gruene","Diplom (abgeschlossenes Studium)",4000,"ja","4","gelegentlich (einige Male pro Monat)","nur gelegentlich","ja"
"106","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",42,188,45,2,10,3,2,"3,0","5",4,18,"nein",5,"bin nicht sicher","werde nicht waehlen","Hauptschul- oder Realschulabschluss",3500,"ja","8","selten (einige Male pro Jahr)","nur gelegentlich","nein"
"107","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,180,32,6,6,8,8,"2,6","8",95,40,"keine Ahnung",6,"nein","werde nicht waehlen","Abitur",2500,"nein","5","nein, nie","nein","nein"
"108","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",41,170,0,7,6,7,9,"1,9","13",1,10,"ja",4,"ja","FDP","Diplom (abgeschlossenes Studium)",2500,"nein","6","gelegentlich (einige Male pro Monat)","nein","ja"
"109","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,183,10,9,3,3,1,"3,2","7",7,35,"nein",1.5,"nein","eine andere Partei","Hauptschul- oder Realschulabschluss",3200,"ja","4","nein, nie","nein","nein"
"110","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",41,175,6,4,9,4,1,"2,9","8",30,55,"keine Ahnung",7,"nein","AfD","Diplom (abgeschlossenes Studium)",80000,"ja","8","haeufig (einige Male pro Woche)","ja","ja"
"111","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",37,160,2,10,6,7,6,"2,5","12",5,30,"keine Ahnung",4,"ja","Die Linke","Diplom (abgeschlossenes Studium)",2200,"ja","4","selten (einige Male pro Jahr)","nein","ja"
"112","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",42,186,30,6,7,2,2,"3,0","4",35,50,"keine Ahnung",12,"nein","eine andere Partei","Diplom (abgeschlossenes Studium)",4000,"ja","5","gelegentlich (einige Male pro Monat)","nein","ja"
"113","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,182,40,5,9,1,7,"2,4","11",9,55,"keine Ahnung",2,"nein","SPD","Abitur",60,"ja","4","nein, nie","nein","nein"
"114","2023/10/12 00:00:00 PM OESZ","","weiblich",40,169,15,2,9,4,2,"2,1","11",20,20,"nein",0.1,"nein","SPD","Diplom (abgeschlossenes Studium)",2000,"ja","4 ","gelegentlich (einige Male pro Monat)","nur gelegentlich","nein"
"115","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",42,179,30,4,7,6,3,"3,2","10",5,23,"nein",8,"nein","werde nicht waehlen","Hauptschul- oder Realschulabschluss",4000,"nein","5","nein, nie","nein","nein"
"116","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,166,35,5,10,4,1,"2,9","5",2,30,"keine Ahnung",12,"nein","darf nicht waehlen","Diplom (abgeschlossenes Studium)",2500,"ja","2","nein, nie","nur gelegentlich","ja"
"117","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,183,12,8,9,7,6,"3,2","10",4,45,"nein",5,"ja","werde nicht waehlen","Hauptschul- oder Realschulabschluss",2000,"nein","3","nein, nie","nur gelegentlich","nein"
"118","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","divers",46,190,37,7,7,3,5,"1,4","9",20,65,"keine Ahnung",14,"bin nicht sicher","SPD","Abitur",4000,"ja","0,48","selten (einige Male pro Jahr)","ja","ja"
"119","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",41,176,60,4,9,4,3,"1,0","15",2,20,"keine Ahnung",2.5,"ja","FDP","Abitur",60000,"nein","3","selten (einige Male pro Jahr)","nein","ja"
"120","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",41,169,10,5,8,6,4,"3,0","10",13,20,"keine Ahnung",6,"ja","CDU/CSU","Dr.",3500,"nein","4","gelegentlich (einige Male pro Monat)","nein","nein"
"121","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",40,177,6,4,9,3,1,"2,3","10",2,15,"nein",7,"ja","CDU/CSU","Diplom (abgeschlossenes Studium)",2800,"ja","5","gelegentlich (einige Male pro Monat)","nein","nein"
"122","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",42,173,20,8,10,9,7,"2,6","11",1.5,16,"nein",5,"ja","werde nicht waehlen","Hauptschul- oder Realschulabschluss",5500,"nein","4.5","nein, nie","nur gelegentlich","ja"
"123","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",42,179,12,10,10,10,10,"3,0","13",50,30,"ja",4,"nein","AfD","Hauptschul- oder Realschulabschluss",3.5,"ja","1","nein, nie","nein","nein"
"124","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",37,156,7,1,10,5,3,"2,5","5",9,40,"ja",1.5,"ja","Gruene","Diplom (abgeschlossenes Studium)",2500,"ja","6","gelegentlich (einige Male pro Monat)","nur gelegentlich","ja"
"125","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",36,158,15,4,10,3,2,"2,2","4",9,5,"ja",8,"ja","Gruene","Diplom (abgeschlossenes Studium)",NA,"ja","6","haeufig (einige Male pro Woche)","nein","ja"
"126","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,187,30,8,10,10,10,"3,3","15",22,40,"ja",8,"nein","AfD","Diplom (abgeschlossenes Studium)",2500,"ja","0,5","","nein","nein"
"127","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",40,173,17,4,9,4,4,"3,1","11",NA,NA,"nein",1,"ja","CDU/CSU","Abitur",4000,"ja","4","gelegentlich (einige Male pro Monat)","nein","ja"
"128","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",42,182,45,7,9,6,5,"3,1","10",0,10,"keine Ahnung",4.5,"ja","FDP","Hauptschul- oder Realschulabschluss",2800,"ja","5","gelegentlich (einige Male pro Monat)","nein","ja"
"129","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,171,15,7,10,4,5,"2,9","7",41,25,"nein",2,"ja","FDP","Diplom (abgeschlossenes Studium)",5000,"ja","6","haeufig (einige Male pro Woche)","nein","ja"
"130","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",41,174,25,3,8,4,6,"2,9","8",110,85,"ja",14,"ja","werde nicht waehlen","Dr.",3500,"nein","4","haeufig (einige Male pro Woche)","nein","ja"
"131","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,177,47,5,7,7,8,"2,6","9",20,40,"nein",3,"nein","CDU/CSU","Diplom (abgeschlossenes Studium)",2000,"ja","8","selten (einige Male pro Jahr)","nein","nein"
"132","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,178,30,5,8,7,4,"3,0","1",25,45,"keine Ahnung",10,"nein","Gruene","Dr.",2000,"ja","2","gelegentlich (einige Male pro Monat)","nein","ja"
"133","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,176,30,7,6,5,4,"2,6","10",40,45,"nein",5,"nein","werde nicht waehlen","Hauptschul- oder Realschulabschluss",NA,"ja","12","nein, nie","nein","nein"
"134","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",41,179,5,3,4,2,1,"2,2","15",1,6,"ja",1.5,"nein","Gruene","Diplom (abgeschlossenes Studium)",6000,"ja","6","gelegentlich (einige Male pro Monat)","nein","nein"
"135","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",35.5,166,5,6,9,3,5,"2,5","14",6,10,"ja",1,"nein","Die Linke","Hauptschul- oder Realschulabschluss",1,"ja","11","selten (einige Male pro Jahr)","nein","nein"
"136","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,1.82,15,8,8,3,7,"3,1","6",16,26,"keine Ahnung",11,"nein","FDP","Abitur",5,"ja","6","haeufig (einige Male pro Woche)","nur gelegentlich","ja"
"137","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",39,169,80,6,10,4,4,"2,5","11",35,20,"nein",7,"nein","AfD","Hauptschul- oder Realschulabschluss",2800,"ja","2","selten (einige Male pro Jahr)","nein","ja"
"138","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",46,179,25,4,8,2,1,"1,7","11",8,25,"nein",7,"ja","eine andere Partei","Abitur",NA,"ja","6","gelegentlich (einige Male pro Monat)","nein","ja"
"139","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,189,40,4,7,4,6,"3,1","6",4,10,"keine Ahnung",3.5,"nein","CDU/CSU","Diplom (abgeschlossenes Studium)",NA,"","","","nein","nein"
"140","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,169,37,5,9,7,4,"2,8","10",6,25,"nein",3.5,"nein","SPD","Hauptschul- oder Realschulabschluss",NA,"ja","4","nein, nie","nein","nein"
"141","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,184,60,9,6,2,NA,"3,4","6",8,35,"keine Ahnung",5,"nein","werde nicht waehlen","Hauptschul- oder Realschulabschluss",4000,"ja","6 ","nein, nie","nein","nein"
"142","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",36,171,0,3,5,2,4,"2,7","9",16,40,"nein",NA,"nein","SPD","Hauptschul- oder Realschulabschluss",5000,"ja","4","haeufig (einige Male pro Woche)","nein","ja"
"143","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",48,184,20,7,10,8,4,"1,4","14",80,65,"ja",18,"bin nicht sicher","FDP","Hauptschul- oder Realschulabschluss",10,"ja","4","nein, nie","nein","nein"
"144","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",38,170,0,8,7,7,2,"2,2","11",12,25,"keine Ahnung",2,"ja","eine andere Partei","Abitur",40,"nein","5","selten (einige Male pro Jahr)","nein","nein"
"145","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,171,70,8,7,8,6,"2,2","15",107,45,"nein",7,"nein","FDP","Hauptschul- oder Realschulabschluss",4,"ja","7","gelegentlich (einige Male pro Monat)","nein","nein"
"146","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",38.5,166,11,7,4,5,7,"2,8","5",25,45,"keine Ahnung",2,"nein","werde nicht waehlen","Diplom (abgeschlossenes Studium)",3500,"ja","6","nein, nie","nein","nein"
"147","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",39,168,10,4,8,1,6,"3,0","0",16,20,"nein",2,"nein","FDP","Hauptschul- oder Realschulabschluss",NA,"nein","5","nein, nie","nein","nein"
"148","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,182,5,8,10,5,3,"2,8","4",8,30,"ja",1,"ja","CDU/CSU","Diplom (abgeschlossenes Studium)",NA,"nein","4","gelegentlich (einige Male pro Monat)","nur gelegentlich","ja"
"149","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,184,20,7,10,8,4,"2,7","8",8,8,"ja",9,"nein","SPD","Dr.",2400,"ja","4","gelegentlich (einige Male pro Monat)","nein","ja"
"150","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",38,163,7,7,9,5,3,"1,9","8",1,15,"nein",5,"ja","werde nicht waehlen","Hauptschul- oder Realschulabschluss",5000,"nein","3","gelegentlich (einige Male pro Monat)","nein","ja"
"151","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,184,30,5,4,5,7,"2,7","5",100,85,"nein",8,"nein","CDU/CSU","Abitur",NA,"ja","7","haeufig (einige Male pro Woche)","nur gelegentlich","nein"
"152","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",42,NA,40,5,7,7,1,"3,4","7",50,50,"keine Ahnung",13,"nein","","",4000,"nein","5","nein, nie","nein","nein"
"153","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",46,182,0,7,8,8,6,"1,4","14",6,20,"ja",42,"nein","werde nicht waehlen","Diplom (abgeschlossenes Studium)",4000,"ja","7","nein, nie","nein","nein"
"154","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,178,35,8,9,2,3,"2,7","7",3,10,"ja",9,"nein","werde nicht waehlen","Hauptschul- oder Realschulabschluss",3,"ja","5","nein, nie","nein","nein"
"155","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",46,191,45,5,10,6,6,"2,6","8",20,27,"keine Ahnung",8,"nein","eine andere Partei","Diplom (abgeschlossenes Studium)",800,"ja","4","selten (einige Male pro Jahr)","nein","ja"
"156","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,181,20,7,7,5,5,"3,5","10",13,6,"nein",8,"nein","FDP","Abitur",2000,"nein","5","gelegentlich (einige Male pro Monat)","nur gelegentlich","ja"
"157","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,169,40,7,7,5,6,"3,0","9",25,30,"keine Ahnung",7,"nein","eine andere Partei","Hauptschul- oder Realschulabschluss",3000,"ja","7","gelegentlich (einige Male pro Monat)","ja","ja"
"158","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,186,31,7,10,4,8,"3,0","9",30,35,"nein",4,"nein","FDP","Diplom (abgeschlossenes Studium)",4000,"ja","5","gelegentlich (einige Male pro Monat)","nur gelegentlich","ja"
"159","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",41,NA,0,6,3,7,1,"3,1","9",25,35,"ja",13,"nein","werde nicht waehlen","Abitur",2.5,"ja","6","gelegentlich (einige Male pro Monat)","nein","nein"
"160","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",47,189,22,7,9,5,7,"1,7","12",30,NA,"keine Ahnung",3.5,"nein","SPD","Diplom (abgeschlossenes Studium)",3500,"ja","7","gelegentlich (einige Male pro Monat)","nein","nein"
"161","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,187,15,6,10,3,2,"2,9","5",90,60,"nein",3,"ja","werde nicht waehlen","Hauptschul- oder Realschulabschluss",2000,"ja","4","selten (einige Male pro Jahr)","nein","nein"
"162","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",39,164,5,4,6,2,3,"2,8","1",35,35,"keine Ahnung",1.5,"ja","werde nicht waehlen","Abitur",3500,"nein","7","selten (einige Male pro Jahr)","nur gelegentlich","nein"
"163","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",40,175,0,8,6,6,5,"2,0","13",17,70,"nein",4,"nein","werde nicht waehlen","Hauptschul- oder Realschulabschluss",2500,"nein","","nein, nie","nein","nein"
"164","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",40,163,19,6,9,8,8,"2,5","4",17,80,"keine Ahnung",1.5,"nein","werde nicht waehlen","Abitur",NA,"ja","7","nein, nie","nein","nein"
"165","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",47,145,45,5,5,4,4,"1,7","10",20,40,"nein",98,"moechte ich nicht sagen","AfD","Hauptschul- oder Realschulabschluss",3000,"ja","15","nein, nie","ja","ja"
"166","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,167,35,9,10,6,1,"2,7","13",40,40,"ja",4.5,"nein","SPD","Hauptschul- oder Realschulabschluss",3000,"ja","6","gelegentlich (einige Male pro Monat)","nein","ja"
"167","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,155,65,6,10,8,5,"1,5","12",13,30,"ja",13,"moechte ich nicht sagen","SPD","Abitur",4000,"ja","3","gelegentlich (einige Male pro Monat)","nur gelegentlich","ja"
"168","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",49,190,12,7,9,6,5,"1,8","kann Frage nicht sinnvoll beantworten",11,35,"ja",11,"nein","FDP","Diplom (abgeschlossenes Studium)",3000,"ja","3","selten (einige Male pro Jahr)","nein","nein"
"169","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",37,164,35,8,9,10,2,"1,1","12",30,65,"ja",9,"nein","CDU/CSU","Abitur",2500,"ja","45","nein, nie","nein","nein"
"170","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,171,65,7,8,5,1,"2,7","7",1.5,30,"keine Ahnung",11,"ja","SPD","Diplom (abgeschlossenes Studium)",1050,"ja","5 ","nein, nie","nein","nein"
"171","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",40,165,10,5,9,6,7,"1,8","10",5,30,"ja",6,"nein","Gruene","Abitur",5000,"ja","5","nein, nie","nein","nein"
"172","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",40,170,30,4,8,4,3,"2,9","6",30,50,"nein",6,"nein","FDP","Hauptschul- oder Realschulabschluss",3500,"ja","5","selten (einige Male pro Jahr)","nein","nein"
"173","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,178,31,5,9,5,1,"2,7","6",17,25,"keine Ahnung",9,"ja","CDU/CSU","Hauptschul- oder Realschulabschluss",2500,"ja","4","gelegentlich (einige Male pro Monat)","nein",""
"174","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",46,187,56,5,8,5,3,"2,4","10",5,10,"keine Ahnung",14,"nein","eine andere Partei","Hauptschul- oder Realschulabschluss",5000,"nein","4","gelegentlich (einige Male pro Monat)","nein","ja"
"175","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,192,70,5,6,5,4,"2,2","8",25,35,"keine Ahnung",13,"ja","CDU/CSU","Abitur",3500,"nein","6","selten (einige Male pro Jahr)","nein","nein"
"176","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",42,178,23,4,7,3,5,"2,6","2",9,40,"keine Ahnung",12,"ja","eine andere Partei","Abitur",2500,"ja","5","gelegentlich (einige Male pro Monat)","nein","ja"
"177","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",36,170,9,5,7,2,4,"2,2","10",1,20,"ja",3,"nein","CDU/CSU","Abitur",3000,"ja","5h","selten (einige Male pro Jahr)","nein","nein"
"178","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,174,15,9,10,9,6,"3,0","7",7,20,"keine Ahnung",3,"nein","SPD","Hauptschul- oder Realschulabschluss",2000,"ja","4","selten (einige Male pro Jahr)","nein","nein"
"179","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",NA,172,21,7,7,6,4,"2,7","14",29,75,"keine Ahnung",4,"nein","CDU/CSU","Abitur",3200,"ja","7,5","gelegentlich (einige Male pro Monat)","nein","nein"
"180","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",35,161,17,9,8,7,6,"2,5","11",NA,5,"ja",3,"nein","CDU/CSU","Diplom (abgeschlossenes Studium)",2900,"ja","6","nein, nie","nein","nein"
"181","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44.5,187,5,2,5,3,9,"3,0","9",30,55,"nein",NA,"nein","werde nicht waehlen","Hauptschul- oder Realschulabschluss",2500,"ja","7","nein, nie","nein","nein"
"182","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43.5,173,55,4,6,5,3,"2,8","10",60,70,"nein",10,"nein","werde nicht waehlen","Hauptschul- oder Realschulabschluss",3500,"ja","4","nein, nie","nein","nein"
"183","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",42,179,7,9,8,6,6,"2,5","9",1,10,"keine Ahnung",2,"nein","CDU/CSU","Abitur",NA,"nein","2","nein, nie","nein","nein"
"184","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",47,186,60,7,8,6,4,"2,7","12",1,20,"keine Ahnung",13,"nein","eine andere Partei","Diplom (abgeschlossenes Studium)",3200,"ja","6","gelegentlich (einige Male pro Monat)","nein","ja"
"185","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,189,55,6,9,9,3,"2,8","12",5,10,"keine Ahnung",7,"ja","eine andere Partei","Hauptschul- oder Realschulabschluss",3000,"ja","2","gelegentlich (einige Male pro Monat)","nur gelegentlich","ja"
"186","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",38,68,17,1,1,5,3,"2,7","15",8,25,"ja",3,"ja","CDU/CSU","Abitur",2.8,"ja","2","nein, nie","nein","nein"
"187","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43.5,173,21,5,6,5,6,"2,5","8",6,40,"nein",2,"nein","FDP","Abitur",3000,"nein","5","gelegentlich (einige Male pro Monat)","nein","nein"
"188","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",40,173,16,8,7,7,2,"3,8","1",6,35,"nein",6,"ja","FDP","Abitur",4500,"ja","3","nein, nie","nein","nein"
